"Name","Year","Gender","State","Count"
"Brittany",1997,"F","AK",19
"Bailey",1997,"F","AK",15
"Breanna",1997,"F","AK",14
"Brianna",1997,"F","AK",12
"Brooke",1997,"F","AK",12
"Brenna",1997,"F","AK",7
"Bethany",1997,"F","AK",6
"Brenda",1997,"F","AK",6
"Briana",1997,"F","AK",6
"Brittney",1997,"F","AK",6
"Brittany",1998,"F","AK",29
"Brianna",1998,"F","AK",26
"Brooke",1998,"F","AK",15
"Breanna",1998,"F","AK",11
"Bethany",1998,"F","AK",10
"Bailey",1998,"F","AK",9
"Brittney",1998,"F","AK",7
"Brianna",1999,"F","AK",28
"Brittany",1999,"F","AK",18
"Brooke",1999,"F","AK",16
"Breanna",1999,"F","AK",12
"Bailey",1999,"F","AK",10
"Brittney",1999,"F","AK",10
"Bethany",1999,"F","AK",7
"Brianna",2000,"F","AK",18
"Bethany",2000,"F","AK",14
"Brittany",2000,"F","AK",14
"Brooke",2000,"F","AK",13
"Bianca",2000,"F","AK",6
"Breanna",2000,"F","AK",6
"Briana",2000,"F","AK",5
"Brittney",2000,"F","AK",5
"Brianna",2001,"F","AK",19
"Brooke",2001,"F","AK",15
"Breanna",2001,"F","AK",11
"Bethany",2001,"F","AK",9
"Bailey",2001,"F","AK",8
"Babygirl",2001,"F","AK",6
"Bridget",2001,"F","AK",6
"Brittany",2001,"F","AK",6
"Brenna",2001,"F","AK",5
"Brianna",2002,"F","AK",15
"Briana",2002,"F","AK",8
"Bailey",2002,"F","AK",7
"Breanna",2002,"F","AK",7
"Brooke",2002,"F","AK",7
"Brooklyn",2002,"F","AK",7
"Bethany",2002,"F","AK",5
"Brianna",2003,"F","AK",16
"Brooke",2003,"F","AK",15
"Breanna",2003,"F","AK",10
"Brooklyn",2003,"F","AK",9
"Bethany",2003,"F","AK",7
"Briana",2003,"F","AK",5
"Brianna",2004,"F","AK",13
"Brooke",2004,"F","AK",12
"Breanna",2004,"F","AK",7
"Bailey",2004,"F","AK",5
"Brenna",2004,"F","AK",5
"Brianna",2005,"F","AK",14
"Brooke",2005,"F","AK",14
"Bethany",2005,"F","AK",11
"Breanna",2005,"F","AK",8
"Brooklyn",2005,"F","AK",6
"Brenna",2005,"F","AK",5
"Brooke",2006,"F","AK",17
"Brooklyn",2006,"F","AK",14
"Brianna",2006,"F","AK",13
"Bethany",2006,"F","AK",12
"Bailey",2006,"F","AK",10
"Brenna",2006,"F","AK",6
"Breanna",2006,"F","AK",5
"Brooke",2007,"F","AK",15
"Brooklyn",2007,"F","AK",15
"Brianna",2007,"F","AK",12
"Bailey",2007,"F","AK",10
"Bethany",2007,"F","AK",6
"Brooklyn",2008,"F","AK",14
"Bella",2008,"F","AK",12
"Brooke",2008,"F","AK",12
"Bailey",2008,"F","AK",9
"Brianna",2008,"F","AK",9
"Brooklynn",2008,"F","AK",8
"Bethany",2008,"F","AK",6
"Bristol",2008,"F","AK",6
"Brooklyn",2009,"F","AK",24
"Bella",2009,"F","AK",18
"Brooke",2009,"F","AK",10
"Brooklynn",2009,"F","AK",9
"Brianna",2009,"F","AK",8
"Bailey",2009,"F","AK",5
"Brooklyn",2010,"F","AK",17
"Bella",2010,"F","AK",12
"Brooke",2010,"F","AK",11
"Brianna",2010,"F","AK",9
"Brooklynn",2010,"F","AK",8
"Bailey",2010,"F","AK",6
"Breanna",2010,"F","AK",6
"Bethany",2010,"F","AK",5
"Bristol",2010,"F","AK",5
"Brooklyn",2011,"F","AK",17
"Bella",2011,"F","AK",9
"Brielle",2011,"F","AK",9
"Brooke",2011,"F","AK",9
"Bailey",2011,"F","AK",7
"Braelyn",2011,"F","AK",6
"Brianna",2011,"F","AK",6
"Bethany",2011,"F","AK",5
"Brooklynn",2011,"F","AK",5
"Brynn",2011,"F","AK",5
"Brooklyn",2012,"F","AK",14
"Brooke",2012,"F","AK",12
"Bailey",2012,"F","AK",10
"Brooklynn",2012,"F","AK",10
"Bella",2012,"F","AK",9
"Brielle",2012,"F","AK",9
"Bethany",2012,"F","AK",7
"Bristol",2012,"F","AK",7
"Brianna",2012,"F","AK",6
"Brooklyn",2013,"F","AK",20
"Bailey",2013,"F","AK",13
"Brooke",2013,"F","AK",12
"Bella",2013,"F","AK",10
"Brynn",2013,"F","AK",8
"Brooklynn",2013,"F","AK",7
"Brianna",2013,"F","AK",6
"Brielle",2013,"F","AK",6
"Brylee",2013,"F","AK",5
"Brooklyn",2014,"F","AK",18
"Bella",2014,"F","AK",15
"Brooke",2014,"F","AK",11
"Bailey",2014,"F","AK",6
"Bristol",2014,"F","AK",6
"Bethany",2014,"F","AK",5
