"Name","Year","Gender","State","Count"
"Courtney",1997,"F","AK",18
"Cheyenne",1997,"F","AK",14
"Catherine",1997,"F","AK",13
"Caitlin",1997,"F","AK",10
"Christina",1997,"F","AK",10
"Cassandra",1997,"F","AK",9
"Claire",1997,"F","AK",9
"Chloe",1997,"F","AK",8
"Clarissa",1997,"F","AK",8
"Cynthia",1997,"F","AK",8
"Christine",1997,"F","AK",7
"Cheyanne",1997,"F","AK",6
"Crystal",1997,"F","AK",6
"Carrie",1997,"F","AK",5
"Cassidy",1997,"F","AK",5
"Chloe",1998,"F","AK",17
"Cassidy",1998,"F","AK",14
"Courtney",1998,"F","AK",14
"Chelsea",1998,"F","AK",13
"Cheyenne",1998,"F","AK",13
"Caitlin",1998,"F","AK",11
"Clara",1998,"F","AK",10
"Cassandra",1998,"F","AK",9
"Cora",1998,"F","AK",8
"Carrie",1998,"F","AK",7
"Christine",1998,"F","AK",7
"Cierra",1998,"F","AK",7
"Catherine",1998,"F","AK",6
"Christina",1998,"F","AK",6
"Crystal",1998,"F","AK",6
"Camryn",1998,"F","AK",5
"Carina",1998,"F","AK",5
"Carly",1998,"F","AK",5
"Caroline",1998,"F","AK",5
"Chantel",1998,"F","AK",5
"Claire",1998,"F","AK",5
"Colleen",1998,"F","AK",5
"Courtney",1999,"F","AK",18
"Cheyenne",1999,"F","AK",17
"Christina",1999,"F","AK",15
"Chloe",1999,"F","AK",13
"Claire",1999,"F","AK",13
"Caitlin",1999,"F","AK",12
"Cassidy",1999,"F","AK",10
"Catherine",1999,"F","AK",10
"Camryn",1999,"F","AK",7
"Cassandra",1999,"F","AK",6
"Charlotte",1999,"F","AK",6
"Cynthia",1999,"F","AK",6
"Chelsea",1999,"F","AK",5
"Christine",1999,"F","AK",5
"Courtney",2000,"F","AK",17
"Caitlin",2000,"F","AK",13
"Chloe",2000,"F","AK",13
"Christina",2000,"F","AK",13
"Cheyenne",2000,"F","AK",12
"Cassandra",2000,"F","AK",9
"Claire",2000,"F","AK",9
"Caitlyn",2000,"F","AK",8
"Catherine",2000,"F","AK",7
"Camille",2000,"F","AK",6
"Chelsea",2000,"F","AK",5
"Ciara",2000,"F","AK",5
"Cora",2000,"F","AK",5
"Crystal",2000,"F","AK",5
"Chloe",2001,"F","AK",21
"Claire",2001,"F","AK",13
"Chelsea",2001,"F","AK",10
"Cheyenne",2001,"F","AK",10
"Caitlyn",2001,"F","AK",9
"Courtney",2001,"F","AK",9
"Caitlin",2001,"F","AK",8
"Christina",2001,"F","AK",8
"Cassandra",2001,"F","AK",7
"Cassidy",2001,"F","AK",7
"Caroline",2001,"F","AK",6
"Catherine",2001,"F","AK",6
"Cierra",2001,"F","AK",6
"Clara",2001,"F","AK",6
"Casey",2001,"F","AK",5
"Cheyanne",2001,"F","AK",5
"Crystal",2001,"F","AK",5
"Chloe",2002,"F","AK",24
"Catherine",2002,"F","AK",11
"Caitlin",2002,"F","AK",9
"Clara",2002,"F","AK",9
"Cassidy",2002,"F","AK",8
"Cheyenne",2002,"F","AK",8
"Christina",2002,"F","AK",8
"Chelsea",2002,"F","AK",7
"Claire",2002,"F","AK",7
"Courtney",2002,"F","AK",7
"Cheyanne",2002,"F","AK",6
"Caitlyn",2002,"F","AK",5
"Charity",2002,"F","AK",5
"Crystal",2002,"F","AK",5
