"Name","Year","Gender","State","Count"
"Danielle",1997,"F","AK",15
"Destiny",1997,"F","AK",13
"Diana",1997,"F","AK",8
"Deanna",1997,"F","AK",6
"Delaney",1997,"F","AK",6
"Denali",1997,"F","AK",6
"Darian",1997,"F","AK",5
"Desiree",1997,"F","AK",5
"Danielle",1998,"F","AK",21
"Desiree",1998,"F","AK",7
"Destiny",1998,"F","AK",7
"Diana",1998,"F","AK",7
"Dakota",1998,"F","AK",6
"Daisy",1998,"F","AK",5
"Deanna",1998,"F","AK",5
"Denali",1998,"F","AK",5
"Danielle",1999,"F","AK",12
"Destiny",1999,"F","AK",12
"Dakota",1999,"F","AK",7
"Daisy",1999,"F","AK",5
"Dana",1999,"F","AK",5
"Denise",1999,"F","AK",5
"Desiree",1999,"F","AK",5
"Diana",1999,"F","AK",5
"Danielle",2000,"F","AK",15
"Destiny",2000,"F","AK",9
"Daisy",2000,"F","AK",6
"Denali",2000,"F","AK",6
"Deanna",2000,"F","AK",5
"Delaney",2000,"F","AK",5
"Destiny",2001,"F","AK",16
"Danielle",2001,"F","AK",15
"Denali",2001,"F","AK",9
"Daisy",2001,"F","AK",7
"Dakota",2001,"F","AK",6
"Desiree",2001,"F","AK",5
"Danielle",2002,"F","AK",16
"Destiny",2002,"F","AK",15
"Denali",2002,"F","AK",7
"Delaney",2002,"F","AK",6
"Dakota",2002,"F","AK",5
"Destiny",2003,"F","AK",13
"Danielle",2003,"F","AK",8
"Delaney",2003,"F","AK",8
"Dakota",2003,"F","AK",5
"Danielle",2004,"F","AK",13
"Destiny",2004,"F","AK",13
"Delaney",2004,"F","AK",8
"Daisy",2004,"F","AK",6
"Denali",2004,"F","AK",5
"Destiny",2005,"F","AK",12
"Dakota",2005,"F","AK",10
"Desiree",2005,"F","AK",9
"Delaney",2005,"F","AK",7
"Denali",2005,"F","AK",5
"Destiny",2006,"F","AK",12
"Dakota",2006,"F","AK",9
"Danielle",2006,"F","AK",8
"Delaney",2006,"F","AK",7
"Diamond",2006,"F","AK",6
"Daisy",2006,"F","AK",5
"Danika",2006,"F","AK",5
"Destiny",2007,"F","AK",10
"Danielle",2007,"F","AK",9
"Daisy",2007,"F","AK",7
"Danika",2007,"F","AK",5
"Destiny",2008,"F","AK",16
"Delilah",2008,"F","AK",10
"Denali",2008,"F","AK",7
"Delaney",2008,"F","AK",6
"Danielle",2008,"F","AK",5
"Destiny",2009,"F","AK",18
"Danielle",2009,"F","AK",10
"Dakota",2009,"F","AK",5
"Delaney",2010,"F","AK",9
"Daisy",2010,"F","AK",6
