"Name","Year","Gender","State","Count"
"Emily",1997,"F","AK",64
"Emma",1997,"F","AK",30
"Elizabeth",1997,"F","AK",28
"Erin",1997,"F","AK",17
"Erica",1997,"F","AK",7
"Erika",1997,"F","AK",7
"Evelyn",1997,"F","AK",7
"Elise",1997,"F","AK",5
"Emily",1998,"F","AK",60
"Elizabeth",1998,"F","AK",29
"Emma",1998,"F","AK",26
"Erica",1998,"F","AK",12
"Erin",1998,"F","AK",12
"Esther",1998,"F","AK",7
"Elena",1998,"F","AK",6
"Erika",1998,"F","AK",6
"Evelyn",1998,"F","AK",6
"Eva",1998,"F","AK",5
"Emily",1999,"F","AK",62
"Elizabeth",1999,"F","AK",33
"Emma",1999,"F","AK",31
"Erin",1999,"F","AK",11
"Elena",1999,"F","AK",7
"Erica",1999,"F","AK",6
"Erika",1999,"F","AK",5
"Esther",1999,"F","AK",5
"Emily",2000,"F","AK",48
"Elizabeth",2000,"F","AK",32
"Emma",2000,"F","AK",32
"Erin",2000,"F","AK",18
"Esther",2000,"F","AK",8
"Erica",2000,"F","AK",7
"Eden",2000,"F","AK",5
"Ella",2000,"F","AK",5
"Erika",2000,"F","AK",5
"Emily",2001,"F","AK",47
"Elizabeth",2001,"F","AK",33
"Emma",2001,"F","AK",31
"Elena",2001,"F","AK",10
"Ella",2001,"F","AK",8
"Erin",2001,"F","AK",7
"Evelyn",2001,"F","AK",6
"Ellen",2001,"F","AK",5
"Erica",2001,"F","AK",5
"Elizabeth",2002,"F","AK",40
"Emily",2002,"F","AK",40
"Emma",2002,"F","AK",36
"Ella",2002,"F","AK",15
"Erin",2002,"F","AK",11
"Erica",2002,"F","AK",8
"Eva",2002,"F","AK",6
"Evelyn",2002,"F","AK",6
"Elsie",2002,"F","AK",5
"Emilee",2002,"F","AK",5
"Emma",2003,"F","AK",49
"Emily",2003,"F","AK",45
"Elizabeth",2003,"F","AK",28
"Ella",2003,"F","AK",15
"Erin",2003,"F","AK",14
"Elena",2003,"F","AK",11
"Eleanor",2003,"F","AK",8
"Elise",2003,"F","AK",8
"Evelyn",2003,"F","AK",7
"Eden",2003,"F","AK",5
"Erika",2003,"F","AK",5
"Esther",2003,"F","AK",5
"Emma",2004,"F","AK",62
"Emily",2004,"F","AK",41
"Elizabeth",2004,"F","AK",27
"Ella",2004,"F","AK",20
"Ellie",2004,"F","AK",9
"Erin",2004,"F","AK",9
"Eva",2004,"F","AK",9
"Erica",2004,"F","AK",7
"Evelyn",2004,"F","AK",7
"Ellen",2004,"F","AK",6
"Eileen",2004,"F","AK",5
"Emilia",2004,"F","AK",5
"Emma",2005,"F","AK",49
"Emily",2005,"F","AK",47
"Elizabeth",2005,"F","AK",30
"Ella",2005,"F","AK",18
"Evelyn",2005,"F","AK",9
"Ellie",2005,"F","AK",8
"Elena",2005,"F","AK",7
"Elise",2005,"F","AK",7
"Erica",2005,"F","AK",7
"Erin",2005,"F","AK",7
"Elaina",2005,"F","AK",5
