"Name","Year","Gender","State","Count"
"Grace",1997,"F","AK",17
"Gabrielle",1997,"F","AK",16
"Gabriella",1997,"F","AK",6
"Gloria",1997,"F","AK",6
"Grace",1998,"F","AK",17
"Gabrielle",1998,"F","AK",11
"Gabriella",1998,"F","AK",8
"Genevieve",1998,"F","AK",5
"Grace",1999,"F","AK",29
"Gabrielle",1999,"F","AK",16
"Gabriella",1999,"F","AK",5
"Grace",2000,"F","AK",26
"Gabrielle",2000,"F","AK",21
"Grace",2001,"F","AK",31
"Gabrielle",2001,"F","AK",18
"Gabriella",2001,"F","AK",9
"Gillian",2001,"F","AK",8
"Grace",2002,"F","AK",26
"Gabrielle",2002,"F","AK",13
"Gillian",2002,"F","AK",7
"Gabriella",2002,"F","AK",6
"Gracie",2002,"F","AK",5
"Grace",2003,"F","AK",24
"Gabriella",2003,"F","AK",7
"Gracie",2003,"F","AK",7
"Gabrielle",2003,"F","AK",6
"Grace",2004,"F","AK",44
"Gabrielle",2004,"F","AK",8
"Gabriella",2004,"F","AK",7
"Gwendolyn",2004,"F","AK",6
"Gianna",2004,"F","AK",5
"Gracie",2004,"F","AK",5
"Grace",2005,"F","AK",28
"Gabrielle",2005,"F","AK",8
"Gabriella",2005,"F","AK",6
"Gracie",2005,"F","AK",6
"Gwendolyn",2005,"F","AK",5
"Grace",2006,"F","AK",21
"Gabriella",2006,"F","AK",15
"Gabrielle",2006,"F","AK",10
"Genevieve",2006,"F","AK",5
"Gracie",2006,"F","AK",5
"Grace",2007,"F","AK",25
"Gabriella",2007,"F","AK",12
"Genevieve",2007,"F","AK",6
"Gracie",2007,"F","AK",6
"Grace",2008,"F","AK",23
"Gabriella",2008,"F","AK",12
"Gracie",2008,"F","AK",11
"Gabrielle",2008,"F","AK",9
"Genevieve",2008,"F","AK",5
"Grace",2009,"F","AK",19
"Gabriella",2009,"F","AK",15
"Gracie",2009,"F","AK",12
"Gabrielle",2009,"F","AK",10
"Grace",2010,"F","AK",28
"Gabriella",2010,"F","AK",15
"Gabrielle",2010,"F","AK",12
"Gianna",2010,"F","AK",12
"Gracie",2010,"F","AK",6
"Grace",2011,"F","AK",27
"Gabriella",2011,"F","AK",13
"Gabrielle",2011,"F","AK",10
"Genevieve",2011,"F","AK",6
"Giana",2011,"F","AK",6
"Gracelyn",2011,"F","AK",5
"Gracie",2011,"F","AK",5
"Grace",2012,"F","AK",26
"Genevieve",2012,"F","AK",8
"Gabriella",2012,"F","AK",6
"Gabrielle",2012,"F","AK",5
"Gracie",2012,"F","AK",5
"Gabriella",2013,"F","AK",17
"Grace",2013,"F","AK",14
"Genevieve",2013,"F","AK",7
"Gabrielle",2013,"F","AK",5
"Grace",2014,"F","AK",29
"Gabriella",2014,"F","AK",13
"Gwendolyn",2014,"F","AK",10
"Gemma",2014,"F","AK",6
"Genevieve",2014,"F","AK",6
"Gracie",2014,"F","AK",5
"Gabriel",1997,"M","AK",21
"Garrett",1997,"M","AK",17
"Gavin",1997,"M","AK",15
"George",1997,"M","AK",15
"Gage",1997,"M","AK",12
"Grant",1997,"M","AK",10
