"Name","Year","Gender","State","Count"
"Isabella",1997,"F","AK",7
"Irene",1997,"F","AK",5
"Isabelle",1998,"F","AK",10
"Isabel",1998,"F","AK",9
"Isabella",1998,"F","AK",7
"Isabella",1999,"F","AK",19
"Isabel",1999,"F","AK",11
"Isabella",2000,"F","AK",11
"Isabel",2000,"F","AK",9
"Isabelle",2000,"F","AK",6
"Isabella",2001,"F","AK",15
"Isabel",2001,"F","AK",6
"Isabelle",2001,"F","AK",5
"Isabella",2002,"F","AK",18
"Isabelle",2002,"F","AK",15
"Isabel",2002,"F","AK",7
"Isabella",2003,"F","AK",31
"Isabel",2003,"F","AK",8
"Isabelle",2003,"F","AK",8
"Isabella",2004,"F","AK",30
"Isabelle",2004,"F","AK",13
"Isabel",2004,"F","AK",8
"Isabella",2005,"F","AK",35
"Isabelle",2005,"F","AK",16
"Iris",2005,"F","AK",7
"Isabel",2005,"F","AK",6
"Isis",2005,"F","AK",5
"Isabella",2006,"F","AK",37
"Isabel",2006,"F","AK",20
"Isabelle",2006,"F","AK",13
"Isabella",2007,"F","AK",52
"Isabel",2007,"F","AK",9
"Isabelle",2007,"F","AK",8
"Iris",2007,"F","AK",7
"Isabella",2008,"F","AK",37
"Isabelle",2008,"F","AK",11
"Isabel",2008,"F","AK",10
"Izabella",2008,"F","AK",7
"Isla",2008,"F","AK",6
"Isabella",2009,"F","AK",57
"Isabelle",2009,"F","AK",12
"Isabel",2009,"F","AK",9
"Iris",2009,"F","AK",6
"Izabella",2009,"F","AK",6
"Isabella",2010,"F","AK",51
"Isabelle",2010,"F","AK",17
"Izabella",2010,"F","AK",10
"Isabel",2010,"F","AK",8
"Ivy",2010,"F","AK",7
"Iris",2010,"F","AK",5
"Isabella",2011,"F","AK",50
"Isabelle",2011,"F","AK",13
"Isla",2011,"F","AK",11
"Iris",2011,"F","AK",7
"Isabel",2011,"F","AK",5
"Isabella",2012,"F","AK",30
"Isabelle",2012,"F","AK",11
"Isabel",2012,"F","AK",7
"Isla",2012,"F","AK",7
"Izabella",2012,"F","AK",6
"Iris",2012,"F","AK",5
"Isis",2012,"F","AK",5
"Ivy",2012,"F","AK",5
"Isabella",2013,"F","AK",38
"Isla",2013,"F","AK",8
"Isabel",2013,"F","AK",7
"Isabelle",2013,"F","AK",7
"Izabella",2013,"F","AK",7
"Ivy",2013,"F","AK",5
"Isabella",2014,"F","AK",33
"Isabel",2014,"F","AK",12
"Isabelle",2014,"F","AK",12
"Iris",2014,"F","AK",8
"Ivy",2014,"F","AK",8
"Isla",2014,"F","AK",7
"Izabella",2014,"F","AK",6
"Isaiah",1997,"M","AK",25
"Ian",1997,"M","AK",18
"Isaac",1997,"M","AK",17
"Ian",1998,"M","AK",21
"Isaac",1998,"M","AK",21
"Isaiah",1998,"M","AK",17
"Isaiah",1999,"M","AK",41
"Isaac",1999,"M","AK",23
"Ian",1999,"M","AK",18
"Ian",2000,"M","AK",31
"Isaiah",2000,"M","AK",30
"Isaac",2000,"M","AK",23
"Ivan",2000,"M","AK",5
"Isaac",2001,"M","AK",26
"Ian",2001,"M","AK",23
"Isaiah",2001,"M","AK",20
"Isaac",2002,"M","AK",32
"Isaiah",2002,"M","AK",29
"Ian",2002,"M","AK",18
"Ivan",2002,"M","AK",7
"Isaiah",2003,"M","AK",28
"Isaac",2003,"M","AK",26
"Ian",2003,"M","AK",19
"Isaac",2004,"M","AK",33
"Ian",2004,"M","AK",27
"Isaiah",2004,"M","AK",21
"Isaiah",2005,"M","AK",28
"Isaac",2005,"M","AK",26
"Ian",2005,"M","AK",24
"Isaiah",2006,"M","AK",37
"Ian",2006,"M","AK",19
"Isaac",2006,"M","AK",19
"Isaiah",2007,"M","AK",34
"Isaac",2007,"M","AK",27
"Ian",2007,"M","AK",13
"Israel",2007,"M","AK",5
"Isaiah",2008,"M","AK",32
"Isaac",2008,"M","AK",28
"Ian",2008,"M","AK",17
"Ivan",2008,"M","AK",8
"Isaiah",2009,"M","AK",33
"Isaac",2009,"M","AK",23
"Ian",2009,"M","AK",7
"Ivan",2009,"M","AK",5
"Isaac",2010,"M","AK",33
"Isaiah",2010,"M","AK",29
"Ian",2010,"M","AK",14
"Isaiah",2011,"M","AK",29
"Isaac",2011,"M","AK",22
"Ian",2011,"M","AK",20
"Isaiah",2012,"M","AK",25
"Isaac",2012,"M","AK",20
"Ian",2012,"M","AK",12
"Ivan",2012,"M","AK",5
"Isaac",2013,"M","AK",23
"Ian",2013,"M","AK",20
"Isaiah",2013,"M","AK",19
"Ivan",2013,"M","AK",6
"Isaac",2014,"M","AK",27
"Isaiah",2014,"M","AK",15
"Ian",2014,"M","AK",11
"Ivan",2014,"M","AK",7
"Isabella",1997,"F","AL",27
"Ivy",1997,"F","AL",17
"India",1997,"F","AL",16
"Imani",1997,"F","AL",15
"Isabel",1997,"F","AL",7
"Ivey",1997,"F","AL",7
"Isabelle",1997,"F","AL",6
"Isabella",1998,"F","AL",20
"India",1998,"F","AL",16
"Imani",1998,"F","AL",10
"Ivy",1998,"F","AL",10
"Isabel",1998,"F","AL",7
"Isabelle",1998,"F","AL",5
"Iyana",1998,"F","AL",5
"Isabella",1999,"F","AL",42
"India",1999,"F","AL",16
"Isabel",1999,"F","AL",15
"Ivy",1999,"F","AL",14
"Imani",1999,"F","AL",8
"Isabelle",1999,"F","AL",8
"Iesha",1999,"F","AL",6
"Isis",1999,"F","AL",6
"Ivey",1999,"F","AL",6
"Indya",1999,"F","AL",5
"Ivory",1999,"F","AL",5
"Iyanla",1999,"F","AL",5
"Isabella",2000,"F","AL",52
"Isabelle",2000,"F","AL",26
"India",2000,"F","AL",23
"Ivy",2000,"F","AL",21
"Isabel",2000,"F","AL",14
"Imani",2000,"F","AL",7
"Iman",2000,"F","AL",5
"Ivory",2000,"F","AL",5
"Iyanna",2000,"F","AL",5
"Isabella",2001,"F","AL",70
"India",2001,"F","AL",51
"Isabelle",2001,"F","AL",22
"Isabel",2001,"F","AL",17
"Ivy",2001,"F","AL",17
"Imani",2001,"F","AL",9
"Isabell",2001,"F","AL",5
"Ivey",2001,"F","AL",5
"Ivory",2001,"F","AL",5
"Iyana",2001,"F","AL",5
"Isabella",2002,"F","AL",127
"India",2002,"F","AL",47
"Isabelle",2002,"F","AL",20
"Ivy",2002,"F","AL",20
"Isabel",2002,"F","AL",18
"Imani",2002,"F","AL",11
"Ivey",2002,"F","AL",7
"Iyana",2002,"F","AL",7
"Isabela",2002,"F","AL",5
"Iyanna",2002,"F","AL",5
"Isabella",2003,"F","AL",132
"India",2003,"F","AL",32
"Isabel",2003,"F","AL",18
"Isabelle",2003,"F","AL",18
"Ivy",2003,"F","AL",13
"Imani",2003,"F","AL",9
"Iyana",2003,"F","AL",6
"Ireland",2003,"F","AL",5
"Isabella",2004,"F","AL",137
"Isabelle",2004,"F","AL",28
"India",2004,"F","AL",25
"Isabel",2004,"F","AL",18
"Ivy",2004,"F","AL",10
"Imani",2004,"F","AL",9
"Iyana",2004,"F","AL",9
"Isabell",2004,"F","AL",6
"Ingrid",2004,"F","AL",5
"Iris",2004,"F","AL",5
"Ivey",2004,"F","AL",5
"Ivie",2004,"F","AL",5
"Iyanna",2004,"F","AL",5
"Isabella",2005,"F","AL",153
"India",2005,"F","AL",26
"Isabelle",2005,"F","AL",25
"Ivy",2005,"F","AL",17
"Iyana",2005,"F","AL",13
"Isabel",2005,"F","AL",11
"Imani",2005,"F","AL",10
"Ivey",2005,"F","AL",7
"Ireland",2005,"F","AL",6
"Iris",2005,"F","AL",6
"Izabella",2005,"F","AL",6
"Itzel",2005,"F","AL",5
"Isabella",2006,"F","AL",196
"Isabel",2006,"F","AL",32
"India",2006,"F","AL",22
"Isabelle",2006,"F","AL",17
"Ivy",2006,"F","AL",10
"Izabella",2006,"F","AL",9
"Isabela",2006,"F","AL",8
"Isis",2006,"F","AL",6
"Imani",2006,"F","AL",5
"Itzel",2006,"F","AL",5
"Iyana",2006,"F","AL",5
"Isabella",2007,"F","AL",196
"Isabelle",2007,"F","AL",27
"Isabel",2007,"F","AL",24
"India",2007,"F","AL",21
"Ivy",2007,"F","AL",12
"Imani",2007,"F","AL",10
"Isabela",2007,"F","AL",9
"Izabella",2007,"F","AL",8
"Iyana",2007,"F","AL",7
"Itzel",2007,"F","AL",6
"Iris",2007,"F","AL",5
"Isis",2007,"F","AL",5
"Isabella",2008,"F","AL",212
"Isabelle",2008,"F","AL",31
"Isabel",2008,"F","AL",22
"Izabella",2008,"F","AL",15
"Imani",2008,"F","AL",13
"India",2008,"F","AL",12
"Ivy",2008,"F","AL",12
"Isabela",2008,"F","AL",10
"Ingrid",2008,"F","AL",9
"Isla",2008,"F","AL",9
