"Name","Year","Gender","State","Count"
"Jessica",1997,"F","AK",46
"Jasmine",1997,"F","AK",21
"Jordan",1997,"F","AK",16
"Jamie",1997,"F","AK",15
"Jennifer",1997,"F","AK",15
"Julia",1997,"F","AK",15
"Jenna",1997,"F","AK",14
"Jacqueline",1997,"F","AK",10
"Jada",1997,"F","AK",10
"Jade",1997,"F","AK",8
"Josephine",1997,"F","AK",7
"Jillian",1997,"F","AK",6
"Jenny",1997,"F","AK",5
"Justice",1997,"F","AK",5
"Jessica",1998,"F","AK",39
"Jordan",1998,"F","AK",24
"Jasmine",1998,"F","AK",19
"Jennifer",1998,"F","AK",11
"Julia",1998,"F","AK",11
"Jade",1998,"F","AK",9
"Jenna",1998,"F","AK",8
"Jordyn",1998,"F","AK",8
"Jacqueline",1998,"F","AK",7
"Jamie",1998,"F","AK",6
"Jessie",1998,"F","AK",6
"Josephine",1998,"F","AK",6
"Jada",1998,"F","AK",5
"Josie",1998,"F","AK",5
"Jessica",1999,"F","AK",33
"Jasmine",1999,"F","AK",18
"Jordan",1999,"F","AK",14
"Julia",1999,"F","AK",11
"Jamie",1999,"F","AK",10
"Jennifer",1999,"F","AK",9
"Jade",1999,"F","AK",8
"Josephine",1999,"F","AK",8
"Jenna",1999,"F","AK",7
"Juliana",1999,"F","AK",6
"Jacqueline",1999,"F","AK",5
"Jazmine",1999,"F","AK",5
"Julianne",1999,"F","AK",5
"Julie",1999,"F","AK",5
"Jessica",2000,"F","AK",31
"Jennifer",2000,"F","AK",17
"Julia",2000,"F","AK",17
"Jenna",2000,"F","AK",14
"Jasmine",2000,"F","AK",11
"Jamie",2000,"F","AK",10
"Jordan",2000,"F","AK",10
"Josephine",2000,"F","AK",9
"Jade",2000,"F","AK",8
"Jessie",2000,"F","AK",7
"Jillian",2000,"F","AK",6
"Jordyn",2000,"F","AK",6
"Jada",2000,"F","AK",5
"Jewel",2000,"F","AK",5
"Jessica",2001,"F","AK",25
"Jasmine",2001,"F","AK",21
"Julia",2001,"F","AK",16
"Jade",2001,"F","AK",12
"Jordan",2001,"F","AK",11
"Jenna",2001,"F","AK",9
"Jillian",2001,"F","AK",9
"Julianna",2001,"F","AK",9
"Jazmine",2001,"F","AK",6
"Jennifer",2001,"F","AK",6
"Jadyn",2001,"F","AK",5
"Jasmine",2002,"F","AK",30
"Jessica",2002,"F","AK",15
"Jade",2002,"F","AK",14
"Julia",2002,"F","AK",13
"Jordan",2002,"F","AK",11
"Jillian",2002,"F","AK",10
"Jordyn",2002,"F","AK",10
"Jamie",2002,"F","AK",9
"Jada",2002,"F","AK",7
"Jennifer",2002,"F","AK",7
"Jessie",2002,"F","AK",7
"Josephine",2002,"F","AK",7
"Jenna",2002,"F","AK",6
"Jocelyn",2002,"F","AK",6
"Justice",2002,"F","AK",5
"Jordan",2003,"F","AK",17
"Jasmine",2003,"F","AK",16
"Jessica",2003,"F","AK",13
"Julia",2003,"F","AK",11
"Jade",2003,"F","AK",10
"Jaden",2003,"F","AK",7
"Jenna",2003,"F","AK",7
"Josephine",2003,"F","AK",7
"Jamie",2003,"F","AK",6
"Jazmine",2003,"F","AK",6
"Jordyn",2003,"F","AK",6
"Jada",2003,"F","AK",5
"Jillian",2003,"F","AK",5
"Jessica",2004,"F","AK",17
"Jasmine",2004,"F","AK",15
"Jordan",2004,"F","AK",15
"Julia",2004,"F","AK",15
"Jade",2004,"F","AK",14
"Jamie",2004,"F","AK",13
"Jenna",2004,"F","AK",10
"Jennifer",2004,"F","AK",8
"Jillian",2004,"F","AK",8
"Janessa",2004,"F","AK",7
"Josephine",2004,"F","AK",7
"Jocelyn",2004,"F","AK",6
"Jordyn",2004,"F","AK",6
"Jacqueline",2004,"F","AK",5
"Jadyn",2004,"F","AK",5
"Jessica",2005,"F","AK",27
"Jasmine",2005,"F","AK",16
"Jenna",2005,"F","AK",13
"Jillian",2005,"F","AK",11
"Julia",2005,"F","AK",11
"Jordan",2005,"F","AK",10
"Jade",2005,"F","AK",9
"Jada",2005,"F","AK",8
"Josephine",2005,"F","AK",7
"Jadyn",2005,"F","AK",6
"Janessa",2005,"F","AK",6
"Jamie",2005,"F","AK",5
"Jocelyn",2005,"F","AK",5
"Jasmine",2006,"F","AK",25
"Jessica",2006,"F","AK",14
"Jordan",2006,"F","AK",13
"Julia",2006,"F","AK",12
"Jenna",2006,"F","AK",11
"Jade",2006,"F","AK",9
"Jennifer",2006,"F","AK",8
"Jillian",2006,"F","AK",8
"Josephine",2006,"F","AK",7
"Julie",2006,"F","AK",7
"Jaylynn",2006,"F","AK",6
"Jada",2006,"F","AK",5
"Jocelyn",2006,"F","AK",5
"Jasmine",2007,"F","AK",15
"Jessica",2007,"F","AK",15
"Julia",2007,"F","AK",13
"Jada",2007,"F","AK",11
"Jocelyn",2007,"F","AK",11
"Josephine",2007,"F","AK",11
"Jenna",2007,"F","AK",10
"Jordan",2007,"F","AK",10
"Jamie",2007,"F","AK",8
"Jade",2007,"F","AK",7
"Jennifer",2007,"F","AK",7
"Jillian",2007,"F","AK",7
"Jordyn",2007,"F","AK",7
"Jayden",2007,"F","AK",5
"Julianna",2007,"F","AK",5
"Jasmine",2008,"F","AK",17
"Jade",2008,"F","AK",14
"Julia",2008,"F","AK",13
"Jada",2008,"F","AK",9
"Jessica",2008,"F","AK",8
"Jillian",2008,"F","AK",8
"Jocelyn",2008,"F","AK",8
"Josephine",2008,"F","AK",8
"Jordan",2008,"F","AK",6
"Jenna",2008,"F","AK",5
"Jennifer",2008,"F","AK",5
"Jessie",2008,"F","AK",5
"Julie",2008,"F","AK",5
"Jocelyn",2009,"F","AK",14
"Jordan",2009,"F","AK",12
"Jade",2009,"F","AK",11
"Jenna",2009,"F","AK",11
"Jordyn",2009,"F","AK",10
"Jasmine",2009,"F","AK",9
"Josephine",2009,"F","AK",9
"Jamie",2009,"F","AK",7
"Jessica",2009,"F","AK",7
"Jennifer",2009,"F","AK",6
"Jacqueline",2009,"F","AK",5
"Jayden",2009,"F","AK",5
"Jazmine",2009,"F","AK",5
"Juliana",2009,"F","AK",5
"Jocelyn",2010,"F","AK",16
"Jordyn",2010,"F","AK",10
"Julia",2010,"F","AK",9
"Jade",2010,"F","AK",7
"Jasmine",2010,"F","AK",6
"Jenna",2010,"F","AK",6
"Jayla",2010,"F","AK",5
"Jessica",2010,"F","AK",5
"Jillian",2010,"F","AK",5
"Josephine",2010,"F","AK",5
"Jasmine",2011,"F","AK",16
"Julia",2011,"F","AK",11
"Jade",2011,"F","AK",9
"Jocelyn",2011,"F","AK",8
"Jordyn",2011,"F","AK",8
"Josephine",2011,"F","AK",7
"Jenna",2011,"F","AK",6
"Jordan",2011,"F","AK",6
"Juliet",2011,"F","AK",6
"Jada",2011,"F","AK",5
"Jemma",2011,"F","AK",5
"Jillian",2011,"F","AK",5
"Journey",2011,"F","AK",5
"Julie",2011,"F","AK",5
"Jessica",2012,"F","AK",9
"Jade",2012,"F","AK",8
"Julia",2012,"F","AK",8
"Josephine",2012,"F","AK",7
"Juliana",2012,"F","AK",6
"Juliet",2012,"F","AK",6
"Jazmine",2012,"F","AK",5
"Jennifer",2012,"F","AK",5
"Joanna",2012,"F","AK",5
"Jade",2013,"F","AK",18
"Jasmine",2013,"F","AK",15
"Julia",2013,"F","AK",10
"Jane",2013,"F","AK",8
"Jordyn",2013,"F","AK",8
"Jocelyn",2013,"F","AK",7
"Jamie",2013,"F","AK",6
"Jennifer",2013,"F","AK",6
"Josephine",2013,"F","AK",6
"June",2013,"F","AK",6
"Josie",2013,"F","AK",5
"Julia",2014,"F","AK",9
"Jade",2014,"F","AK",8
"Jasmine",2014,"F","AK",8
"Juliana",2014,"F","AK",8
"Juliet",2014,"F","AK",8
"Juniper",2014,"F","AK",7
"Josephine",2014,"F","AK",6
"Joy",2014,"F","AK",6
"Jayla",2014,"F","AK",5
"Jennifer",2014,"F","AK",5
"Josie",2014,"F","AK",5
"June",2014,"F","AK",5
"Jacob",1997,"M","AK",86
"James",1997,"M","AK",83
"Joshua",1997,"M","AK",75
"Joseph",1997,"M","AK",59
"John",1997,"M","AK",58
"Justin",1997,"M","AK",44
"Jordan",1997,"M","AK",34
"Jonathan",1997,"M","AK",29
"Jason",1997,"M","AK",26
"Jesse",1997,"M","AK",23
"Jared",1997,"M","AK",21
"Jack",1997,"M","AK",17
"Jeremy",1997,"M","AK",17
"Jeremiah",1997,"M","AK",10
"Jeffrey",1997,"M","AK",9
"Jon",1997,"M","AK",9
"Jake",1997,"M","AK",7
"Jeffery",1997,"M","AK",7
"Joel",1997,"M","AK",7
"Johnathan",1997,"M","AK",7
"Jose",1997,"M","AK",7
"Josiah",1997,"M","AK",6
"Jackson",1997,"M","AK",5
"Jerry",1997,"M","AK",5
"Julian",1997,"M","AK",5
"Jacob",1998,"M","AK",74
"Joshua",1998,"M","AK",68
"Joseph",1998,"M","AK",62
"James",1998,"M","AK",53
"John",1998,"M","AK",44
"Justin",1998,"M","AK",39
"Jonathan",1998,"M","AK",30
"Jared",1998,"M","AK",28
"Jordan",1998,"M","AK",23
"Jason",1998,"M","AK",22
"Jeremiah",1998,"M","AK",19
"Jesse",1998,"M","AK",17
"Jack",1998,"M","AK",16
"Jeremy",1998,"M","AK",16
"Joel",1998,"M","AK",8
"Jonah",1998,"M","AK",8
"Johnny",1998,"M","AK",7
"Jake",1998,"M","AK",6
"Jackson",1998,"M","AK",5
"Jakob",1998,"M","AK",5
"Jayden",1998,"M","AK",5
"Jeffrey",1998,"M","AK",5
"Jesus",1998,"M","AK",5
"Josiah",1998,"M","AK",5
"Justice",1998,"M","AK",5
"Jacob",1999,"M","AK",96
"Joshua",1999,"M","AK",77
"Joseph",1999,"M","AK",56
"John",1999,"M","AK",50
"Justin",1999,"M","AK",38
"James",1999,"M","AK",36
"Jonathan",1999,"M","AK",33
"Jared",1999,"M","AK",24
"Jordan",1999,"M","AK",22
"Jason",1999,"M","AK",21
"Jesse",1999,"M","AK",21
"Jack",1999,"M","AK",19
"Jackson",1999,"M","AK",15
"Jeremy",1999,"M","AK",14
"Josiah",1999,"M","AK",12
"Jake",1999,"M","AK",9
"Jeremiah",1999,"M","AK",9
"Jaden",1999,"M","AK",8
"Joel",1999,"M","AK",8
"Jakob",1999,"M","AK",7
"Jayden",1999,"M","AK",7
"Jonah",1999,"M","AK",7
"Jesus",1999,"M","AK",5
"Johnathan",1999,"M","AK",5
"Jonathon",1999,"M","AK",5
"Justice",1999,"M","AK",5
"Jacob",2000,"M","AK",68
"Joshua",2000,"M","AK",58
"James",2000,"M","AK",57
"Joseph",2000,"M","AK",50
"John",2000,"M","AK",49
"Justin",2000,"M","AK",36
"Jonathan",2000,"M","AK",27
