"Name","Year","Gender","State","Count"
"Katherine",1997,"F","AK",28
"Kaitlyn",1997,"F","AK",22
"Kayla",1997,"F","AK",20
"Kimberly",1997,"F","AK",13
"Kylie",1997,"F","AK",13
"Katrina",1997,"F","AK",12
"Kiana",1997,"F","AK",12
"Kelsey",1997,"F","AK",11
"Kendra",1997,"F","AK",11
"Kirsten",1997,"F","AK",9
"Kristen",1997,"F","AK",9
"Karina",1997,"F","AK",8
"Kaitlin",1997,"F","AK",7
"Katelyn",1997,"F","AK",7
"Katie",1997,"F","AK",7
"Kaylee",1997,"F","AK",7
"Kira",1997,"F","AK",7
"Krista",1997,"F","AK",7
"Kristina",1997,"F","AK",7
"Kaitlynn",1997,"F","AK",6
"Kathleen",1997,"F","AK",6
"Kelly",1997,"F","AK",6
"Kari",1997,"F","AK",5
"Kathryn",1997,"F","AK",5
"Katlyn",1997,"F","AK",5
"Kaylynn",1997,"F","AK",5
"Kristin",1997,"F","AK",5
"Kyla",1997,"F","AK",5
"Kylee",1997,"F","AK",5
"Kayla",1998,"F","AK",37
"Katherine",1998,"F","AK",21
"Kaitlyn",1998,"F","AK",18
"Kaylee",1998,"F","AK",17
"Kimberly",1998,"F","AK",17
"Kelsey",1998,"F","AK",14
"Kendra",1998,"F","AK",12
"Kaitlin",1998,"F","AK",11
"Kiana",1998,"F","AK",11
"Kathryn",1998,"F","AK",10
"Katrina",1998,"F","AK",10
"Kelly",1998,"F","AK",9
"Kylee",1998,"F","AK",9
"Kylie",1998,"F","AK",9
"Katie",1998,"F","AK",8
"Kiara",1998,"F","AK",8
"Katelyn",1998,"F","AK",7
"Kathleen",1998,"F","AK",6
"Kayleigh",1998,"F","AK",6
"Kailey",1998,"F","AK",5
"Kate",1998,"F","AK",5
"Kendall",1998,"F","AK",5
"Kristina",1998,"F","AK",5
"Krystal",1998,"F","AK",5
"Kyla",1998,"F","AK",5
"Kaitlyn",1999,"F","AK",23
"Katherine",1999,"F","AK",22
"Kayla",1999,"F","AK",21
"Kimberly",1999,"F","AK",18
"Katelyn",1999,"F","AK",17
"Kylie",1999,"F","AK",15
"Kaylee",1999,"F","AK",12
"Kiara",1999,"F","AK",12
"Kendra",1999,"F","AK",11
"Katie",1999,"F","AK",10
"Kate",1999,"F","AK",9
"Kathleen",1999,"F","AK",9
"Kelsey",1999,"F","AK",9
"Kiana",1999,"F","AK",9
"Kathryn",1999,"F","AK",8
"Kailey",1999,"F","AK",7
"Katelynn",1999,"F","AK",7
"Kendall",1999,"F","AK",7
"Kennedy",1999,"F","AK",7
"Kylee",1999,"F","AK",7
