"Name","Year","Gender","State","Count"
"Lauren",1997,"F","AK",19
"Laura",1997,"F","AK",15
"Lindsey",1997,"F","AK",10
"Lydia",1997,"F","AK",10
"Lauren",1998,"F","AK",23
"Laura",1998,"F","AK",12
"Leah",1998,"F","AK",10
"Lindsey",1998,"F","AK",9
"Lillian",1998,"F","AK",6
"Lindsay",1998,"F","AK",6
"Lily",1998,"F","AK",5
"Lydia",1998,"F","AK",5
"Lauren",1999,"F","AK",26
"Lydia",1999,"F","AK",12
"Laura",1999,"F","AK",11
"Leah",1999,"F","AK",10
"Lillian",1999,"F","AK",10
"Lindsey",1999,"F","AK",9
"Lily",1999,"F","AK",7
"Leann",1999,"F","AK",5
"Lauren",2000,"F","AK",22
"Leah",2000,"F","AK",15
"Laura",2000,"F","AK",13
"Lily",2000,"F","AK",8
"Lillian",2000,"F","AK",6
"Lydia",2000,"F","AK",6
"Lisa",2000,"F","AK",5
"Lucy",2000,"F","AK",5
"Lillian",2001,"F","AK",12
"Lily",2001,"F","AK",12
"Laura",2001,"F","AK",11
"Lauren",2001,"F","AK",9
"Lydia",2001,"F","AK",9
"Leah",2001,"F","AK",8
"Lindsey",2001,"F","AK",7
"Lilly",2001,"F","AK",6
"Leilani",2001,"F","AK",5
"Lauren",2002,"F","AK",20
"Lillian",2002,"F","AK",14
"Leah",2002,"F","AK",12
"Lindsey",2002,"F","AK",11
"Lydia",2002,"F","AK",10
"Laura",2002,"F","AK",6
"Leilani",2002,"F","AK",6
"Leslie",2002,"F","AK",6
"Liberty",2002,"F","AK",6
"Lily",2002,"F","AK",5
"Lisa",2002,"F","AK",5
"Lauren",2003,"F","AK",16
"Lily",2003,"F","AK",13
"Lydia",2003,"F","AK",13
"Laura",2003,"F","AK",11
"Leah",2003,"F","AK",9
"Lillian",2003,"F","AK",9
"Lucy",2003,"F","AK",6
"Leah",2004,"F","AK",17
"Lily",2004,"F","AK",17
"Lauren",2004,"F","AK",13
"Lillian",2004,"F","AK",13
"Lydia",2004,"F","AK",12
"Lindsey",2004,"F","AK",9
"Lucy",2004,"F","AK",7
"Laura",2004,"F","AK",6
"Leilani",2004,"F","AK",6
"Layla",2004,"F","AK",5
"Lillian",2005,"F","AK",26
"Lily",2005,"F","AK",21
"Lauren",2005,"F","AK",19
"Leah",2005,"F","AK",12
"Leilani",2005,"F","AK",11
"Lydia",2005,"F","AK",11
"Lena",2005,"F","AK",8
"Layla",2005,"F","AK",7
"Lucy",2005,"F","AK",7
"Liberty",2005,"F","AK",5
"Lindsey",2005,"F","AK",5
"Lily",2006,"F","AK",26
"Lauren",2006,"F","AK",17
