"Name","Year","Gender","State","Count"
"Megan",1997,"F","AK",47
"Madison",1997,"F","AK",40
"Morgan",1997,"F","AK",26
"Mary",1997,"F","AK",25
"Melissa",1997,"F","AK",19
"Molly",1997,"F","AK",19
"Madeline",1997,"F","AK",18
"Mariah",1997,"F","AK",15
"Miranda",1997,"F","AK",13
"Mackenzie",1997,"F","AK",12
"Marissa",1997,"F","AK",11
"Mikayla",1997,"F","AK",11
"Makayla",1997,"F","AK",10
"Michelle",1997,"F","AK",10
"Mia",1997,"F","AK",9
"Michaela",1997,"F","AK",9
"Maya",1997,"F","AK",8
"Monica",1997,"F","AK",7
"Maria",1997,"F","AK",6
"Mckenna",1997,"F","AK",6
"Mckenzie",1997,"F","AK",6
"Meghan",1997,"F","AK",6
"Mikaela",1997,"F","AK",6
"Makenzie",1997,"F","AK",5
"Margaret",1997,"F","AK",5
"Marina",1997,"F","AK",5
"Megan",1998,"F","AK",50
"Madison",1998,"F","AK",40
"Mariah",1998,"F","AK",21
"Morgan",1998,"F","AK",20
"Mary",1998,"F","AK",19
"Mackenzie",1998,"F","AK",17
"Miranda",1998,"F","AK",17
"Molly",1998,"F","AK",14
"Madeline",1998,"F","AK",13
"Makayla",1998,"F","AK",12
"Mckenzie",1998,"F","AK",11
"Melissa",1998,"F","AK",11
"Mia",1998,"F","AK",10
"Melinda",1998,"F","AK",8
"Michaela",1998,"F","AK",8
"Mikayla",1998,"F","AK",8
"Margaret",1998,"F","AK",7
"Maria",1998,"F","AK",7
"Maya",1998,"F","AK",7
"Mckenna",1998,"F","AK",7
"Michelle",1998,"F","AK",7
"Marina",1998,"F","AK",6
"Mercedes",1998,"F","AK",6
"Monica",1998,"F","AK",6
"Madelyn",1998,"F","AK",5
"Makenna",1998,"F","AK",5
"Martha",1998,"F","AK",5
"Meagan",1998,"F","AK",5
"Meghan",1998,"F","AK",5
"Madison",1999,"F","AK",32
"Megan",1999,"F","AK",27
"Mackenzie",1999,"F","AK",20
"Mary",1999,"F","AK",19
"Morgan",1999,"F","AK",15
"Madeline",1999,"F","AK",13
"Makayla",1999,"F","AK",13
"Mariah",1999,"F","AK",12
"Mikayla",1999,"F","AK",11
"Molly",1999,"F","AK",10
"Margaret",1999,"F","AK",9
"Melissa",1999,"F","AK",9
"Marissa",1999,"F","AK",8
"Miranda",1999,"F","AK",8
"Maria",1999,"F","AK",7
"Marie",1999,"F","AK",7
"Maya",1999,"F","AK",7
"Michaela",1999,"F","AK",7
"Michelle",1999,"F","AK",7
"Mya",1999,"F","AK",7
"Marina",1999,"F","AK",6
"Mckenzie",1999,"F","AK",6
"Mallory",1999,"F","AK",5
"Madison",2000,"F","AK",50
"Megan",2000,"F","AK",24
"Mary",2000,"F","AK",18
"Morgan",2000,"F","AK",15
"Mackenzie",2000,"F","AK",14
"Madeline",2000,"F","AK",13
"Marissa",2000,"F","AK",13
"Maria",2000,"F","AK",11
"Melissa",2000,"F","AK",11
"Makayla",2000,"F","AK",10
"Mikayla",2000,"F","AK",10
"Margaret",2000,"F","AK",9
"Michelle",2000,"F","AK",9
"Mariah",2000,"F","AK",8
"Maya",2000,"F","AK",8
"Meghan",2000,"F","AK",8
"Miranda",2000,"F","AK",8
"Molly",2000,"F","AK",8
"Malia",2000,"F","AK",7
"Mckenzie",2000,"F","AK",7
"Mia",2000,"F","AK",7
"Monica",2000,"F","AK",6
"Madelyn",2000,"F","AK",5
"Makenna",2000,"F","AK",5
"Melanie",2000,"F","AK",5
"Madison",2001,"F","AK",54
"Megan",2001,"F","AK",27
"Morgan",2001,"F","AK",24
"Makayla",2001,"F","AK",17
"Mariah",2001,"F","AK",16
"Mary",2001,"F","AK",16
"Mackenzie",2001,"F","AK",13
"Maria",2001,"F","AK",13
"Mia",2001,"F","AK",12
"Madeline",2001,"F","AK",10
"Maya",2001,"F","AK",9
"Miranda",2001,"F","AK",9
"Mckenzie",2001,"F","AK",8
"Margaret",2001,"F","AK",7
"Michaela",2001,"F","AK",7
"Molly",2001,"F","AK",7
"Marissa",2001,"F","AK",6
"Michelle",2001,"F","AK",6
"Madelyn",2001,"F","AK",5
"Makenna",2001,"F","AK",5
"Makenzie",2001,"F","AK",5
"Mckenna",2001,"F","AK",5
"Meghan",2001,"F","AK",5
