"Name","Year","Gender","State","Count"
"Olivia",1997,"F","AK",18
"Olivia",1998,"F","AK",26
"Olivia",1999,"F","AK",15
"Olivia",2000,"F","AK",24
"Olivia",2001,"F","AK",25
"Olivia",2002,"F","AK",32
"Olivia",2003,"F","AK",29
"Olivia",2004,"F","AK",33
"Olivia",2005,"F","AK",33
"Olivia",2006,"F","AK",32
"Olivia",2007,"F","AK",33
"Olivia",2008,"F","AK",37
"Olivia",2009,"F","AK",45
"Olivia",2010,"F","AK",44
"Olivia",2011,"F","AK",60
"Olivia",2012,"F","AK",49
"Olivia",2013,"F","AK",35
"Olive",2013,"F","AK",6
"Olivia",2014,"F","AK",47
"Olive",2014,"F","AK",5
"Owen",1997,"M","AK",5
"Owen",1999,"M","AK",9
"Orion",1999,"M","AK",6
"Owen",2000,"M","AK",7
"Orion",2000,"M","AK",5
"Owen",2001,"M","AK",12
"Orion",2002,"M","AK",10
"Owen",2002,"M","AK",7
"Oscar",2002,"M","AK",6
"Owen",2003,"M","AK",19
"Oliver",2003,"M","AK",8
"Orion",2003,"M","AK",5
"Oscar",2003,"M","AK",5
"Owen",2004,"M","AK",17
"Orion",2004,"M","AK",5
"Owen",2005,"M","AK",28
"Oliver",2005,"M","AK",5
"Owen",2006,"M","AK",25
"Oliver",2006,"M","AK",8
"Orion",2006,"M","AK",5
"Owen",2007,"M","AK",21
"Oliver",2007,"M","AK",9
"Odin",2007,"M","AK",5
"Oscar",2007,"M","AK",5
"Owen",2008,"M","AK",31
"Oliver",2008,"M","AK",17
"Odin",2008,"M","AK",5
"Owen",2009,"M","AK",23
"Oliver",2009,"M","AK",16
"Orion",2009,"M","AK",7
"Oscar",2009,"M","AK",5
"Owen",2010,"M","AK",25
"Oliver",2010,"M","AK",17
"Orion",2010,"M","AK",9
"Owen",2011,"M","AK",30
"Oliver",2011,"M","AK",27
"Orion",2011,"M","AK",14
"Oscar",2011,"M","AK",6
"Oliver",2012,"M","AK",25
"Owen",2012,"M","AK",19
"Orion",2012,"M","AK",6
"Oscar",2012,"M","AK",6
"Oliver",2013,"M","AK",24
"Owen",2013,"M","AK",23
"Odin",2013,"M","AK",5
"Orion",2013,"M","AK",5
"Oscar",2013,"M","AK",5
"Oliver",2014,"M","AK",32
"Owen",2014,"M","AK",19
"Orion",2014,"M","AK",11
"Odin",2014,"M","AK",8
"Olivia",1997,"F","AL",136
"Octavia",1997,"F","AL",10
"Olivia",1998,"F","AL",136
"Octavia",1998,"F","AL",11
"Olivia",1999,"F","AL",159
"Octavia",1999,"F","AL",6
"Olivia",2000,"F","AL",180
"Octavia",2000,"F","AL",8
"Olivia",2001,"F","AL",175
"Octavia",2001,"F","AL",5
"Olivia",2002,"F","AL",175
"Octavia",2002,"F","AL",6
"Olivia",2003,"F","AL",221
"Octavia",2003,"F","AL",8
"Olivia",2004,"F","AL",219
"Olivia",2005,"F","AL",199
"Olivia",2006,"F","AL",214
"Olivia",2007,"F","AL",222
"Olivia",2008,"F","AL",198
"Olivia",2009,"F","AL",216
"Olivia",2010,"F","AL",201
"Olive",2010,"F","AL",7
"Olyvia",2010,"F","AL",6
"Octavia",2010,"F","AL",5
"Olivia",2011,"F","AL",229
"Olivia",2012,"F","AL",228
"Olive",2012,"F","AL",7
"Oakley",2012,"F","AL",6
"Olivia",2013,"F","AL",213
"Olive",2013,"F","AL",10
"Olivia",2014,"F","AL",265
"Olive",2014,"F","AL",7
"Oakley",2014,"F","AL",6
"Omar",1997,"M","AL",19
"Owen",1997,"M","AL",13
"Oliver",1997,"M","AL",7
"Oscar",1997,"M","AL",7
"Otis",1997,"M","AL",7
"Orlando",1997,"M","AL",6
"Orlando",1998,"M","AL",12
"Owen",1998,"M","AL",11
"Oscar",1998,"M","AL",10
"Omar",1998,"M","AL",9
"Omar",1999,"M","AL",16
"Owen",1999,"M","AL",16
"Oscar",1999,"M","AL",14
"Octavious",1999,"M","AL",7
"Oliver",1999,"M","AL",7
"Omar",2000,"M","AL",19
"Owen",2000,"M","AL",15
"Oliver",2000,"M","AL",11
"Oscar",2000,"M","AL",8
"Orlando",2000,"M","AL",6
"Otis",2000,"M","AL",5
"Owen",2001,"M","AL",28
"Omar",2001,"M","AL",18
"Oscar",2001,"M","AL",15
"Oliver",2001,"M","AL",7
"Orlando",2001,"M","AL",6
"Owen",2002,"M","AL",32
"Omarion",2002,"M","AL",22
"Omar",2002,"M","AL",21
"Orlando",2002,"M","AL",13
"Oscar",2002,"M","AL",11
"Oliver",2002,"M","AL",8
"Omari",2002,"M","AL",5
"Owen",2003,"M","AL",52
"Omarion",2003,"M","AL",22
"Oscar",2003,"M","AL",19
"Omar",2003,"M","AL",14
"Oliver",2003,"M","AL",11
"Omari",2003,"M","AL",8
"Orlando",2003,"M","AL",5
"Owen",2004,"M","AL",50
"Omarion",2004,"M","AL",25
"Omar",2004,"M","AL",19
"Oliver",2004,"M","AL",14
"Oscar",2004,"M","AL",14
"Omari",2004,"M","AL",9
"Orlando",2004,"M","AL",6
"Owen",2005,"M","AL",52
"Omarion",2005,"M","AL",43
"Oscar",2005,"M","AL",24
"Omar",2005,"M","AL",20
"Oliver",2005,"M","AL",15
"Orlando",2005,"M","AL",8
"Omari",2005,"M","AL",6
"Otis",2005,"M","AL",5
"Owen",2006,"M","AL",71
"Oscar",2006,"M","AL",23
"Omarion",2006,"M","AL",18
"Omar",2006,"M","AL",17
"Oliver",2006,"M","AL",15
"Orlando",2006,"M","AL",9
"Omari",2006,"M","AL",5
"Owen",2007,"M","AL",81
"Omar",2007,"M","AL",25
"Oscar",2007,"M","AL",18
"Oliver",2007,"M","AL",17
"Omarion",2007,"M","AL",13
"Omari",2007,"M","AL",9
"Owen",2008,"M","AL",97
"Oliver",2008,"M","AL",26
"Oscar",2008,"M","AL",25
"Omar",2008,"M","AL",21
"Omari",2008,"M","AL",15
"Omarion",2008,"M","AL",5
"Orlando",2008,"M","AL",5
"Owen",2009,"M","AL",92
"Oliver",2009,"M","AL",28
"Omar",2009,"M","AL",16
"Oscar",2009,"M","AL",14
"Omari",2009,"M","AL",11
"Orlando",2009,"M","AL",9
"Omarion",2009,"M","AL",6
"Owen",2010,"M","AL",70
"Oliver",2010,"M","AL",44
"Omar",2010,"M","AL",19
"Oscar",2010,"M","AL",16
"Orlando",2010,"M","AL",11
"Omari",2010,"M","AL",9
"Omarion",2010,"M","AL",9
"Odin",2010,"M","AL",5
"Owen",2011,"M","AL",81
"Oliver",2011,"M","AL",36
"Oscar",2011,"M","AL",19
"Omar",2011,"M","AL",13
