"Name","Year","Gender","State","Count"
"Paige",1997,"F","AK",6
"Peyton",1997,"F","AK",5
"Paige",1998,"F","AK",15
"Patricia",1998,"F","AK",6
"Paige",1999,"F","AK",12
"Payton",1999,"F","AK",8
"Paige",2000,"F","AK",10
"Peyton",2000,"F","AK",7
"Patricia",2000,"F","AK",6
"Paige",2001,"F","AK",8
"Payton",2001,"F","AK",6
"Piper",2001,"F","AK",5
"Paige",2002,"F","AK",11
"Patricia",2002,"F","AK",5
"Payton",2002,"F","AK",5
"Paige",2003,"F","AK",17
"Piper",2003,"F","AK",7
"Phoebe",2003,"F","AK",5
"Paris",2004,"F","AK",8
"Peyton",2004,"F","AK",8
"Paige",2004,"F","AK",6
"Paige",2005,"F","AK",15
"Payton",2005,"F","AK",7
"Piper",2005,"F","AK",6
"Paige",2006,"F","AK",8
"Peyton",2006,"F","AK",7
"Patricia",2006,"F","AK",5
"Phoebe",2006,"F","AK",5
"Paige",2007,"F","AK",15
"Peyton",2007,"F","AK",8
"Peyton",2008,"F","AK",14
"Piper",2008,"F","AK",14
"Paige",2008,"F","AK",9
"Payton",2008,"F","AK",7
"Penelope",2008,"F","AK",5
"Peyton",2009,"F","AK",17
"Payton",2009,"F","AK",12
"Piper",2009,"F","AK",7
"Paige",2009,"F","AK",5
"Peyton",2010,"F","AK",22
"Payton",2010,"F","AK",10
"Paige",2010,"F","AK",8
"Piper",2010,"F","AK",5
"Peyton",2011,"F","AK",14
"Payton",2011,"F","AK",12
"Penelope",2011,"F","AK",7
"Paige",2011,"F","AK",6
"Paisley",2011,"F","AK",5
"Parker",2011,"F","AK",5
"Phoebe",2011,"F","AK",5
"Piper",2011,"F","AK",5
"Payton",2012,"F","AK",13
"Piper",2012,"F","AK",13
"Penelope",2012,"F","AK",11
"Paige",2012,"F","AK",10
"Peyton",2012,"F","AK",10
"Parker",2012,"F","AK",5
"Piper",2013,"F","AK",16
"Peyton",2013,"F","AK",14
"Penelope",2013,"F","AK",12
"Paige",2013,"F","AK",11
"Paisley",2013,"F","AK",10
"Payton",2013,"F","AK",8
"Parker",2013,"F","AK",6
"Penelope",2014,"F","AK",23
"Peyton",2014,"F","AK",20
"Piper",2014,"F","AK",20
"Paisley",2014,"F","AK",18
"Payton",2014,"F","AK",9
"Paige",2014,"F","AK",7
"Presley",2014,"F","AK",6
"Patrick",1997,"M","AK",27
"Paul",1997,"M","AK",19
"Peter",1997,"M","AK",17
"Preston",1997,"M","AK",12
"Philip",1997,"M","AK",6
"Phillip",1997,"M","AK",5
"Patrick",1998,"M","AK",25
"Paul",1998,"M","AK",14
"Peter",1998,"M","AK",14
"Phillip",1998,"M","AK",8
"Philip",1998,"M","AK",5
"Paul",1999,"M","AK",20
"Peter",1999,"M","AK",15
"Patrick",1999,"M","AK",13
"Preston",1999,"M","AK",10
"Philip",1999,"M","AK",5
"Phillip",1999,"M","AK",5
"Patrick",2000,"M","AK",19
"Paul",2000,"M","AK",16
"Peter",2000,"M","AK",11
"Preston",2000,"M","AK",7
"Peyton",2000,"M","AK",6
"Philip",2000,"M","AK",6
"Parker",2000,"M","AK",5
"Patrick",2001,"M","AK",15
"Peter",2001,"M","AK",10
"Preston",2001,"M","AK",8
"Paul",2001,"M","AK",7
"Payton",2001,"M","AK",7
"Parker",2001,"M","AK",5
"Patrick",2002,"M","AK",16
"Payton",2002,"M","AK",11
"Paul",2002,"M","AK",10
"Peter",2002,"M","AK",10
"Preston",2002,"M","AK",9
"Parker",2002,"M","AK",6
"Preston",2003,"M","AK",14
"Patrick",2003,"M","AK",12
"Phillip",2003,"M","AK",9
"Peter",2003,"M","AK",8
"Paul",2003,"M","AK",6
"Paul",2004,"M","AK",12
"Patrick",2004,"M","AK",10
"Peter",2004,"M","AK",10
"Preston",2004,"M","AK",8
"Peyton",2004,"M","AK",7
"Payton",2004,"M","AK",6
"Phillip",2004,"M","AK",6
"Parker",2004,"M","AK",5
"Porter",2004,"M","AK",5
"Peter",2005,"M","AK",17
"Paul",2005,"M","AK",16
"Patrick",2005,"M","AK",11
"Preston",2005,"M","AK",11
"Peyton",2005,"M","AK",8
"Parker",2005,"M","AK",7
"Phillip",2005,"M","AK",6
"Paul",2006,"M","AK",12
"Peyton",2006,"M","AK",10
"Preston",2006,"M","AK",10
"Patrick",2006,"M","AK",9
"Peter",2006,"M","AK",8
"Parker",2006,"M","AK",7
"Payton",2006,"M","AK",6
"Philip",2006,"M","AK",5
"Phillip",2006,"M","AK",5
"Paul",2007,"M","AK",14
"Patrick",2007,"M","AK",11
"Peter",2007,"M","AK",10
"Peyton",2007,"M","AK",10
"Preston",2007,"M","AK",8
"Payton",2007,"M","AK",6
"Parker",2007,"M","AK",5
"Peter",2008,"M","AK",10
"Preston",2008,"M","AK",9
"Parker",2008,"M","AK",7
"Peyton",2008,"M","AK",7
"Patrick",2008,"M","AK",5
"Paul",2008,"M","AK",5
"Patrick",2009,"M","AK",12
"Paul",2009,"M","AK",12
"Parker",2009,"M","AK",9
"Preston",2009,"M","AK",9
"Paxton",2009,"M","AK",8
"Peter",2009,"M","AK",8
"Peyton",2009,"M","AK",8
"Philip",2009,"M","AK",5
"Parker",2010,"M","AK",18
"Paul",2010,"M","AK",12
"Peter",2010,"M","AK",8
"Paxton",2010,"M","AK",7
"Preston",2010,"M","AK",7
"Porter",2010,"M","AK",5
"Paul",2011,"M","AK",14
"Parker",2011,"M","AK",13
"Patrick",2011,"M","AK",8
"Paxson",2011,"M","AK",8
"Preston",2011,"M","AK",8
"Phoenix",2011,"M","AK",7
"Peyton",2011,"M","AK",6
"Paxton",2011,"M","AK",5
"Pierce",2011,"M","AK",5
"Porter",2011,"M","AK",5
"Parker",2012,"M","AK",21
"Paul",2012,"M","AK",18
"Preston",2012,"M","AK",10
"Patrick",2012,"M","AK",9
"Paxson",2012,"M","AK",9
"Peter",2012,"M","AK",7
"Paxton",2012,"M","AK",6
"Phillip",2012,"M","AK",6
"Porter",2012,"M","AK",6
"Parker",2013,"M","AK",16
"Preston",2013,"M","AK",13
"Patrick",2013,"M","AK",11
"Paul",2013,"M","AK",10
"Peter",2013,"M","AK",10
"Paxton",2013,"M","AK",9
"Peyton",2013,"M","AK",9
"Paxson",2013,"M","AK",8
"Parker",2014,"M","AK",10
"Patrick",2014,"M","AK",9
"Paul",2014,"M","AK",8
"Peter",2014,"M","AK",8
"Paxton",2014,"M","AK",7
"Paxson",2014,"M","AK",5
"Peyton",2014,"M","AK",5
"Payton",1997,"F","AL",41
"Peyton",1997,"F","AL",38
"Paige",1997,"F","AL",36
"Patricia",1997,"F","AL",25
"Precious",1997,"F","AL",25
"Presley",1997,"F","AL",13
"Pamela",1997,"F","AL",10
"Paris",1997,"F","AL",10
"Patrice",1997,"F","AL",8
"Princess",1997,"F","AL",7
"Peggy",1997,"F","AL",5
"Priya",1997,"F","AL",5
"Payton",1998,"F","AL",44
"Peyton",1998,"F","AL",40
"Paige",1998,"F","AL",29
"Patricia",1998,"F","AL",19
"Paris",1998,"F","AL",11
"Pamela",1998,"F","AL",9
"Precious",1998,"F","AL",9
"Presley",1998,"F","AL",8
"Princess",1998,"F","AL",8
"Patience",1998,"F","AL",7
"Portia",1998,"F","AL",5
"Peyton",1999,"F","AL",33
"Payton",1999,"F","AL",31
"Paige",1999,"F","AL",27
"Presley",1999,"F","AL",19
"Patricia",1999,"F","AL",14
"Paris",1999,"F","AL",13
"Precious",1999,"F","AL",12
"Patience",1999,"F","AL",10
"Parker",1999,"F","AL",7
"Pamela",1999,"F","AL",6
"Priscilla",1999,"F","AL",6
"Princess",1999,"F","AL",5
"Peyton",2000,"F","AL",53
"Payton",2000,"F","AL",45
"Paige",2000,"F","AL",26
"Patricia",2000,"F","AL",17
"Paris",2000,"F","AL",10
"Precious",2000,"F","AL",9
"Presley",2000,"F","AL",9
"Princess",2000,"F","AL",8
"Pamela",2000,"F","AL",7
"Patience",2000,"F","AL",7
"Parker",2000,"F","AL",6
"Piper",2000,"F","AL",6
"Payton",2001,"F","AL",44
"Peyton",2001,"F","AL",39
"Paige",2001,"F","AL",29
"Patricia",2001,"F","AL",18
"Presley",2001,"F","AL",18
"Pamela",2001,"F","AL",12
"Precious",2001,"F","AL",11
"Paris",2001,"F","AL",8
"Parker",2001,"F","AL",6
"Princess",2001,"F","AL",5
"Payton",2002,"F","AL",52
"Peyton",2002,"F","AL",43
"Paige",2002,"F","AL",18
"Precious",2002,"F","AL",13
"Presley",2002,"F","AL",11
"Paris",2002,"F","AL",9
"Pamela",2002,"F","AL",8
"Patricia",2002,"F","AL",8
"Piper",2002,"F","AL",8
"Phoebe",2002,"F","AL",6
"Paula",2002,"F","AL",5
"Peyton",2003,"F","AL",46
"Payton",2003,"F","AL",30
"Paige",2003,"F","AL",25
"Patricia",2003,"F","AL",21
"Paris",2003,"F","AL",17
"Piper",2003,"F","AL",12
"Presley",2003,"F","AL",9
"Pamela",2003,"F","AL",7
"Parker",2003,"F","AL",7
"Phoebe",2003,"F","AL",7
"Princess",2003,"F","AL",7
"Penelope",2003,"F","AL",5
"Precious",2003,"F","AL",5
"Paris",2004,"F","AL",59
"Peyton",2004,"F","AL",43
"Payton",2004,"F","AL",36
"Paige",2004,"F","AL",26
"Piper",2004,"F","AL",23
"Parker",2004,"F","AL",14
"Patricia",2004,"F","AL",12
"Presley",2004,"F","AL",12
"Phoebe",2004,"F","AL",11
"Princess",2004,"F","AL",10
"Precious",2004,"F","AL",8
"Paisley",2004,"F","AL",5
"Priscilla",2004,"F","AL",5
"Promise",2004,"F","AL",5
"Paris",2005,"F","AL",41
"Peyton",2005,"F","AL",41
"Payton",2005,"F","AL",30
"Paige",2005,"F","AL",24
"Piper",2005,"F","AL",19
"Presley",2005,"F","AL",16
"Patricia",2005,"F","AL",14
"Precious",2005,"F","AL",9
"Patience",2005,"F","AL",8
"Perla",2005,"F","AL",8
"Princess",2005,"F","AL",8
"Peyton",2006,"F","AL",51
"Paris",2006,"F","AL",35
"Payton",2006,"F","AL",32
"Piper",2006,"F","AL",26
"Presley",2006,"F","AL",26
"Paige",2006,"F","AL",17
"Princess",2006,"F","AL",16
"Paisley",2006,"F","AL",13
"Precious",2006,"F","AL",13
"Patience",2006,"F","AL",11
"Patricia",2006,"F","AL",9
"Parker",2006,"F","AL",8
"Pamela",2006,"F","AL",7
"Phoebe",2006,"F","AL",7
"Penelope",2006,"F","AL",6
"Preslee",2006,"F","AL",6
"Phoenix",2006,"F","AL",5
"Presleigh",2006,"F","AL",5
"Peyton",2007,"F","AL",43
"Payton",2007,"F","AL",39
"Paris",2007,"F","AL",24
"Presley",2007,"F","AL",24
"Piper",2007,"F","AL",20
"Paige",2007,"F","AL",19
"Patricia",2007,"F","AL",14
"Paisley",2007,"F","AL",13
"Princess",2007,"F","AL",12
"Phoebe",2007,"F","AL",10
"Patience",2007,"F","AL",8
"Perla",2007,"F","AL",8
"Pamela",2007,"F","AL",7
"Paola",2007,"F","AL",7
"Phoenix",2007,"F","AL",7
"Precious",2007,"F","AL",7
"Paula",2007,"F","AL",6
"Parker",2007,"F","AL",5
"Penelope",2007,"F","AL",5
"Priscilla",2007,"F","AL",5
"Peyton",2008,"F","AL",94
"Payton",2008,"F","AL",64
"Piper",2008,"F","AL",31
"Paisley",2008,"F","AL",23
"Paige",2008,"F","AL",21
"Presley",2008,"F","AL",20
"Paris",2008,"F","AL",16
"Patricia",2008,"F","AL",11
"Parker",2008,"F","AL",10
"Penelope",2008,"F","AL",10
"Patience",2008,"F","AL",8
"Phoebe",2008,"F","AL",8
"Phoenix",2008,"F","AL",8
"Preslee",2008,"F","AL",7
"Princess",2008,"F","AL",7
"Perla",2008,"F","AL",6
"Precious",2008,"F","AL",6
"Payten",2008,"F","AL",5
"Peighton",2008,"F","AL",5
"Peyton",2009,"F","AL",104
"Payton",2009,"F","AL",58
"Piper",2009,"F","AL",34
"Paisley",2009,"F","AL",29
"Presley",2009,"F","AL",26
"Paige",2009,"F","AL",19
"Paris",2009,"F","AL",19
"Paola",2009,"F","AL",10
"Penelope",2009,"F","AL",10
"Phoebe",2009,"F","AL",10
"Patience",2009,"F","AL",8
"Patricia",2009,"F","AL",8
"Preslee",2009,"F","AL",7
"Paislee",2009,"F","AL",6
"Paityn",2009,"F","AL",6
"Parker",2009,"F","AL",6
"Phoenix",2009,"F","AL",6
"Peighton",2009,"F","AL",5
"Presleigh",2009,"F","AL",5
"Peyton",2010,"F","AL",86
"Payton",2010,"F","AL",42
"Piper",2010,"F","AL",41
"Paisley",2010,"F","AL",32
"Paris",2010,"F","AL",26
"Presley",2010,"F","AL",26
"Phoebe",2010,"F","AL",14
"Paige",2010,"F","AL",13
"Parker",2010,"F","AL",11
"Patience",2010,"F","AL",9
"Priscilla",2010,"F","AL",9
"Paislee",2010,"F","AL",8
"Phoenix",2010,"F","AL",8
"Penelope",2010,"F","AL",7
"Paityn",2010,"F","AL",6
"Patricia",2010,"F","AL",6
"Preslie",2010,"F","AL",6
"Paulina",2010,"F","AL",5
"Preslee",2010,"F","AL",5
"Presleigh",2010,"F","AL",5
"Princess",2010,"F","AL",5
"Priscila",2010,"F","AL",5
"Pyper",2010,"F","AL",5
"Peyton",2011,"F","AL",85
"Piper",2011,"F","AL",50
"Paisley",2011,"F","AL",48
"Payton",2011,"F","AL",38
"Presley",2011,"F","AL",30
"Paris",2011,"F","AL",28
"Parker",2011,"F","AL",17
"Paige",2011,"F","AL",14
"Paislee",2011,"F","AL",8
"Patricia",2011,"F","AL",8
"Penelope",2011,"F","AL",8
"Preslee",2011,"F","AL",8
"Perla",2011,"F","AL",7
"Phoenix",2011,"F","AL",7
"Phoebe",2011,"F","AL",6
"Princess",2011,"F","AL",6
"Patience",2011,"F","AL",5
"Promise",2011,"F","AL",5
"Paisley",2012,"F","AL",88
"Peyton",2012,"F","AL",65
"Piper",2012,"F","AL",54
"Presley",2012,"F","AL",44
"Payton",2012,"F","AL",42
"Paris",2012,"F","AL",40
"Paige",2012,"F","AL",23
"Parker",2012,"F","AL",21
"Penelope",2012,"F","AL",17
"Paislee",2012,"F","AL",11
"Phoenix",2012,"F","AL",11
"Phoebe",2012,"F","AL",10
"Patricia",2012,"F","AL",9
"Paisleigh",2012,"F","AL",7
"Patience",2012,"F","AL",7
"Preslee",2012,"F","AL",7
"Presleigh",2012,"F","AL",7
"Pamela",2012,"F","AL",5
"Preslie",2012,"F","AL",5
"Paisley",2013,"F","AL",109
"Peyton",2013,"F","AL",86
"Piper",2013,"F","AL",66
"Payton",2013,"F","AL",51
"Paris",2013,"F","AL",46
"Presley",2013,"F","AL",41
"Penelope",2013,"F","AL",40
"Paige",2013,"F","AL",17
"Paislee",2013,"F","AL",17
"Parker",2013,"F","AL",16
"Phoenix",2013,"F","AL",8
"Paityn",2013,"F","AL",7
"Patience",2013,"F","AL",7
"Princess",2013,"F","AL",7
"Priscilla",2013,"F","AL",7
"Paula",2013,"F","AL",6
"Preslee",2013,"F","AL",6
"Perla",2013,"F","AL",5
"Promise",2013,"F","AL",5
"Paisley",2014,"F","AL",117
"Peyton",2014,"F","AL",77
"Piper",2014,"F","AL",68
"Presley",2014,"F","AL",51
"Payton",2014,"F","AL",45
"Paris",2014,"F","AL",44
"Penelope",2014,"F","AL",37
"Parker",2014,"F","AL",23
"Paige",2014,"F","AL",20
"Paislee",2014,"F","AL",20
"Phoebe",2014,"F","AL",9
"Palmer",2014,"F","AL",8
"Paityn",2014,"F","AL",6
"Perla",2014,"F","AL",6
"Phoenix",2014,"F","AL",6
"Preslee",2014,"F","AL",5
"Preslie",2014,"F","AL",5
"Priscilla",2014,"F","AL",5
"Patrick",1997,"M","AL",116
"Phillip",1997,"M","AL",68
"Preston",1997,"M","AL",54
"Peyton",1997,"M","AL",52
"Paul",1997,"M","AL",45
"Parker",1997,"M","AL",42
"Payton",1997,"M","AL",21
"Philip",1997,"M","AL",20
"Peter",1997,"M","AL",19
"Paxton",1997,"M","AL",8
"Perry",1997,"M","AL",7
"Paris",1997,"M","AL",5
"Patrick",1998,"M","AL",106
"Peyton",1998,"M","AL",70
"Phillip",1998,"M","AL",64
"Preston",1998,"M","AL",63
"Parker",1998,"M","AL",60
"Paul",1998,"M","AL",46
"Payton",1998,"M","AL",28
"Peter",1998,"M","AL",21
"Philip",1998,"M","AL",19
"Paxton",1998,"M","AL",8
"Perry",1998,"M","AL",7
"Pierce",1998,"M","AL",7
"Pedro",1998,"M","AL",6
"Patrick",1999,"M","AL",100
"Preston",1999,"M","AL",65
"Parker",1999,"M","AL",64
"Peyton",1999,"M","AL",58
"Paul",1999,"M","AL",52
"Phillip",1999,"M","AL",49
"Peter",1999,"M","AL",24
"Payton",1999,"M","AL",23
"Philip",1999,"M","AL",20
"Perry",1999,"M","AL",10
"Pedro",1999,"M","AL",5
"Patrick",2000,"M","AL",115
"Peyton",2000,"M","AL",57
"Parker",2000,"M","AL",55
"Preston",2000,"M","AL",54
"Paul",2000,"M","AL",45
"Phillip",2000,"M","AL",41
"Payton",2000,"M","AL",38
"Peter",2000,"M","AL",14
"Philip",2000,"M","AL",13
"Paxton",2000,"M","AL",8
"Pedro",2000,"M","AL",8
"Perry",2000,"M","AL",6
"Porter",2000,"M","AL",6
"Pablo",2000,"M","AL",5
"Paris",2000,"M","AL",5
"Patrick",2001,"M","AL",92
"Preston",2001,"M","AL",75
"Peyton",2001,"M","AL",68
"Parker",2001,"M","AL",64
"Phillip",2001,"M","AL",37
"Payton",2001,"M","AL",31
"Paul",2001,"M","AL",29
"Peter",2001,"M","AL",18
"Philip",2001,"M","AL",16
"Pedro",2001,"M","AL",11
"Paxton",2001,"M","AL",9
"Pierce",2001,"M","AL",8
"Perry",2001,"M","AL",7
"Percy",2001,"M","AL",5
"Patrick",2002,"M","AL",76
"Preston",2002,"M","AL",71
"Parker",2002,"M","AL",65
"Peyton",2002,"M","AL",60
"Paul",2002,"M","AL",42
"Phillip",2002,"M","AL",32
"Payton",2002,"M","AL",30
"Peter",2002,"M","AL",21
"Philip",2002,"M","AL",15
"Pablo",2002,"M","AL",8
"Perry",2002,"M","AL",8
"Pierce",2002,"M","AL",7
"Patrick",2003,"M","AL",83
"Preston",2003,"M","AL",80
"Peyton",2003,"M","AL",70
"Parker",2003,"M","AL",62
"Phillip",2003,"M","AL",34
"Paul",2003,"M","AL",29
"Payton",2003,"M","AL",27
"Pierce",2003,"M","AL",15
"Peter",2003,"M","AL",14
"Philip",2003,"M","AL",13
"Pedro",2003,"M","AL",8
"Paxton",2003,"M","AL",7
