"Name","Year","Gender","State","Count"
"Quinn",2013,"F","AK",11
"Quinn",2014,"F","AK",7
"Quinn",1997,"M","AK",5
"Quincy",1998,"M","AK",5
"Quinn",1999,"M","AK",8
"Quentin",2001,"M","AK",6
"Quinn",2002,"M","AK",5
"Quinn",2003,"M","AK",5
"Quinn",2004,"M","AK",5
"Quinn",2005,"M","AK",9
"Quinton",2007,"M","AK",8
"Quinn",2007,"M","AK",6
"Quentin",2007,"M","AK",5
"Quincy",2008,"M","AK",6
"Quinn",2009,"M","AK",15
"Quinn",2011,"M","AK",5
"Quinn",2012,"M","AK",9
"Quinn",2013,"M","AK",7
"Quanisha",1997,"F","AL",5
"Quinn",2011,"F","AL",7
"Quinn",2014,"F","AL",11
"Quinton",1997,"M","AL",25
"Quentin",1997,"M","AL",19
"Quintin",1997,"M","AL",11
"Quindarius",1997,"M","AL",9
"Quintavious",1997,"M","AL",6
"Quadarius",1997,"M","AL",5
"Quandarius",1997,"M","AL",5
"Quincy",1997,"M","AL",5
"Quintavius",1997,"M","AL",5
"Quinten",1997,"M","AL",5
"Quinton",1998,"M","AL",25
"Quentin",1998,"M","AL",16
"Quincy",1998,"M","AL",10
"Quindarius",1998,"M","AL",7
"Quadarius",1998,"M","AL",6
"Quintavious",1998,"M","AL",6
"Quintez",1998,"M","AL",5
"Quintin",1998,"M","AL",5
"Quinton",1999,"M","AL",17
"Quintin",1999,"M","AL",12
"Quentin",1999,"M","AL",8
"Quantavious",1999,"M","AL",7
"Quindarius",1999,"M","AL",7
"Quendarius",1999,"M","AL",6
"Quincy",1999,"M","AL",6
"Quintavious",1999,"M","AL",6
"Quintez",1999,"M","AL",6
"Quentin",2000,"M","AL",21
"Quinton",2000,"M","AL",19
"Quindarius",2000,"M","AL",8
"Quintavious",2000,"M","AL",7
"Quintin",2000,"M","AL",6
"Quincy",2000,"M","AL",5
"Quinton",2001,"M","AL",24
"Quindarius",2001,"M","AL",12
"Quentin",2001,"M","AL",9
"Quincy",2001,"M","AL",5
"Quinton",2002,"M","AL",13
"Quincy",2002,"M","AL",12
"Quentin",2002,"M","AL",10
"Quindarius",2002,"M","AL",6
"Quinton",2003,"M","AL",16
"Quentin",2003,"M","AL",11
"Quincy",2003,"M","AL",8
"Quintin",2003,"M","AL",5
"Quinton",2004,"M","AL",15
"Quincy",2004,"M","AL",8
"Quentin",2004,"M","AL",5
"Quentin",2005,"M","AL",12
"Quincy",2005,"M","AL",12
"Quinton",2005,"M","AL",10
"Quenton",2005,"M","AL",6
"Quinterrius",2005,"M","AL",5
"Quintin",2005,"M","AL",5
"Quentin",2006,"M","AL",13
"Quinton",2006,"M","AL",12
"Quincy",2006,"M","AL",7
"Quentin",2007,"M","AL",13
"Quincy",2007,"M","AL",11
"Quinton",2007,"M","AL",10
"Quinn",2007,"M","AL",8
"Quindarius",2007,"M","AL",6
"Quinton",2008,"M","AL",13
