"Name","Year","Gender","State","Count"
"Rachel",1997,"F","AK",32
"Rebecca",1997,"F","AK",21
"Rachael",1997,"F","AK",7
"Rebekah",1997,"F","AK",7
"Riley",1997,"F","AK",5
"Robin",1997,"F","AK",5
"Rylee",1997,"F","AK",5
"Rachel",1998,"F","AK",23
"Rebecca",1998,"F","AK",21
"Rebekah",1998,"F","AK",11
"Raven",1998,"F","AK",6
"Rachel",1999,"F","AK",23
"Rebecca",1999,"F","AK",17
"Rebekah",1999,"F","AK",9
"Riley",1999,"F","AK",7
"Rose",1999,"F","AK",6
"Ruby",1999,"F","AK",6
"Ruth",1999,"F","AK",6
"Robin",1999,"F","AK",5
"Rachel",2000,"F","AK",19
"Rebecca",2000,"F","AK",19
"Rebekah",2000,"F","AK",6
"Riley",2000,"F","AK",5
"Rose",2000,"F","AK",5
"Ruth",2000,"F","AK",5
"Rylee",2000,"F","AK",5
"Rebecca",2001,"F","AK",16
"Rachel",2001,"F","AK",15
"Rachael",2001,"F","AK",7
"Rebekah",2001,"F","AK",7
"Riley",2001,"F","AK",7
"Rylee",2001,"F","AK",7
"Rachelle",2001,"F","AK",5
"Renee",2001,"F","AK",5
"Rachel",2002,"F","AK",14
"Riley",2002,"F","AK",12
"Rebecca",2002,"F","AK",11
"Rebekah",2002,"F","AK",9
"Rose",2002,"F","AK",7
"Renee",2002,"F","AK",6
"Reagan",2002,"F","AK",5
"Rhiannon",2002,"F","AK",5
"Ruth",2002,"F","AK",5
"Rachel",2003,"F","AK",15
"Rebecca",2003,"F","AK",11
"Rebekah",2003,"F","AK",7
"Riley",2003,"F","AK",6
"Ruby",2003,"F","AK",6
"Rachel",2004,"F","AK",17
"Riley",2004,"F","AK",17
"Rebecca",2004,"F","AK",14
"Rebekah",2004,"F","AK",7
"Rhiannon",2004,"F","AK",7
"Reagan",2004,"F","AK",5
"Rebecca",2005,"F","AK",16
"Riley",2005,"F","AK",13
"Rylee",2005,"F","AK",11
"Rachel",2005,"F","AK",9
"Rose",2005,"F","AK",5
"Rylie",2005,"F","AK",5
"Rachel",2006,"F","AK",14
"Rebecca",2006,"F","AK",11
"Rylee",2006,"F","AK",9
"Riley",2006,"F","AK",8
"Rowan",2006,"F","AK",6
"Rachael",2006,"F","AK",5
"Rayna",2006,"F","AK",5
"Reagan",2006,"F","AK",5
"Rebekah",2006,"F","AK",5
"Riley",2007,"F","AK",17
"Rachel",2007,"F","AK",15
"Rebecca",2007,"F","AK",12
"Ruby",2007,"F","AK",8
"Reagan",2007,"F","AK",6
"Rhiannon",2007,"F","AK",6
"Reese",2007,"F","AK",5
"Riley",2008,"F","AK",17
"Rachel",2008,"F","AK",15
"Rylee",2008,"F","AK",9
"Rebecca",2008,"F","AK",7
"Ruby",2008,"F","AK",7
"Rebekah",2008,"F","AK",6
"Reagan",2008,"F","AK",5
"Rowan",2008,"F","AK",5
"Riley",2009,"F","AK",24
"Ruby",2009,"F","AK",12
"Rylee",2009,"F","AK",12
"Rachel",2009,"F","AK",8
"Rebecca",2009,"F","AK",7
"Rachael",2009,"F","AK",6
"Reese",2009,"F","AK",6
"Reagan",2009,"F","AK",5
"Riley",2010,"F","AK",17
"Rebecca",2010,"F","AK",14
"Ruby",2010,"F","AK",12
"Rylee",2010,"F","AK",9
"Reagan",2010,"F","AK",7
"Rachel",2010,"F","AK",6
"Ruth",2010,"F","AK",5
"Riley",2011,"F","AK",20
"Rosemary",2011,"F","AK",8
"Rylee",2011,"F","AK",8
"Rachel",2011,"F","AK",7
"Ruby",2011,"F","AK",7
"Rebecca",2011,"F","AK",6
"Ruth",2011,"F","AK",6
"Reagan",2011,"F","AK",5
"Rebekah",2011,"F","AK",5
"Rose",2011,"F","AK",5
"Riley",2012,"F","AK",13
"Reagan",2012,"F","AK",11
"Ruby",2012,"F","AK",9
"Rylee",2012,"F","AK",7
"River",2012,"F","AK",6
"Rose",2012,"F","AK",5
"Ruth",2012,"F","AK",5
"Reagan",2013,"F","AK",10
"Ruby",2013,"F","AK",10
"Rylee",2013,"F","AK",10
"Riley",2013,"F","AK",8
"Rose",2013,"F","AK",8
"Rachel",2013,"F","AK",5
"Rosalie",2013,"F","AK",5
"Ruth",2013,"F","AK",5
"Riley",2014,"F","AK",15
"Ruby",2014,"F","AK",13
"Rose",2014,"F","AK",12
"River",2014,"F","AK",11
"Rory",2014,"F","AK",8
"Ruth",2014,"F","AK",7
"Rylee",2014,"F","AK",7
"Ryleigh",2014,"F","AK",7
"Rachel",2014,"F","AK",6
"Raegan",2014,"F","AK",6
"Reagan",2014,"F","AK",6
"Rosalie",2014,"F","AK",5
"Ryan",1997,"M","AK",50
"Robert",1997,"M","AK",42
"Richard",1997,"M","AK",20
"Raymond",1997,"M","AK",15
"Riley",1997,"M","AK",11
"Ronald",1997,"M","AK",9
"Russell",1997,"M","AK",8
"Randall",1997,"M","AK",5
"Robert",1998,"M","AK",47
"Ryan",1998,"M","AK",37
"Richard",1998,"M","AK",14
"Riley",1998,"M","AK",9
"Raymond",1998,"M","AK",8
"Ronald",1998,"M","AK",7
"Russell",1998,"M","AK",6
"River",1998,"M","AK",5
"Ryan",1999,"M","AK",49
"Robert",1999,"M","AK",35
"Richard",1999,"M","AK",18
"Riley",1999,"M","AK",15
"Ronald",1999,"M","AK",8
"Randy",1999,"M","AK",7
"Roman",1999,"M","AK",7
"Rodney",1999,"M","AK",6
"Reece",1999,"M","AK",5
"Reed",1999,"M","AK",5
"Robert",2000,"M","AK",35
"Ryan",2000,"M","AK",34
"Riley",2000,"M","AK",14
"Richard",2000,"M","AK",12
"Ronald",2000,"M","AK",8
"Raymond",2000,"M","AK",6
"Robert",2001,"M","AK",36
"Ryan",2001,"M","AK",31
"Riley",2001,"M","AK",17
"Richard",2001,"M","AK",13
"Ronald",2001,"M","AK",10
"Raymond",2001,"M","AK",8
"Ray",2001,"M","AK",5
"Ryan",2002,"M","AK",37
"Robert",2002,"M","AK",35
"Richard",2002,"M","AK",20
"Riley",2002,"M","AK",16
"Raymond",2002,"M","AK",7
"Randy",2002,"M","AK",5
"Ryan",2003,"M","AK",36
"Robert",2003,"M","AK",27
"Riley",2003,"M","AK",13
"Richard",2003,"M","AK",12
"Ronald",2003,"M","AK",7
"Rylan",2003,"M","AK",6
"Raymond",2003,"M","AK",5
"Reece",2003,"M","AK",5
"Reese",2003,"M","AK",5
"River",2003,"M","AK",5
"Roman",2003,"M","AK",5
"Rowan",2003,"M","AK",5
"Russell",2003,"M","AK",5
"Ryan",2004,"M","AK",35
"Robert",2004,"M","AK",34
"Riley",2004,"M","AK",16
"Richard",2004,"M","AK",12
"Rylan",2004,"M","AK",10
"Raymond",2004,"M","AK",8
"Russell",2004,"M","AK",7
"Roman",2004,"M","AK",6
"Reuben",2004,"M","AK",5
"River",2004,"M","AK",5
"Ryan",2005,"M","AK",41
"Robert",2005,"M","AK",28
"Riley",2005,"M","AK",18
"Richard",2005,"M","AK",15
"Ryder",2005,"M","AK",11
"Raymond",2005,"M","AK",8
"Russell",2005,"M","AK",8
"River",2005,"M","AK",7
"Roman",2005,"M","AK",6
"Rowan",2005,"M","AK",5
"Robert",2006,"M","AK",31
"Ryan",2006,"M","AK",26
"Riley",2006,"M","AK",24
"Richard",2006,"M","AK",15
"Raymond",2006,"M","AK",8
"Ryder",2006,"M","AK",7
"Rylan",2006,"M","AK",6
"Ryan",2007,"M","AK",28
"Robert",2007,"M","AK",27
"Riley",2007,"M","AK",24
"Richard",2007,"M","AK",18
"Ryder",2007,"M","AK",11
"Roman",2007,"M","AK",8
"River",2007,"M","AK",7
"Reid",2007,"M","AK",5
"Rowan",2007,"M","AK",5
"Ryan",2008,"M","AK",32
"Robert",2008,"M","AK",26
"Riley",2008,"M","AK",24
"Ryder",2008,"M","AK",13
"Richard",2008,"M","AK",12
"Raymond",2008,"M","AK",9
"Rylan",2008,"M","AK",9
"Roman",2008,"M","AK",6
"Ronan",2008,"M","AK",5
"Rowan",2008,"M","AK",5
"Robert",2009,"M","AK",31
"Riley",2009,"M","AK",22
"Ryan",2009,"M","AK",22
"Ryder",2009,"M","AK",18
"Richard",2009,"M","AK",11
"Rylan",2009,"M","AK",11
"Rowan",2009,"M","AK",10
"Raymond",2009,"M","AK",6
"Roman",2009,"M","AK",5
"Ronald",2009,"M","AK",5
"Ryan",2010,"M","AK",26
"Riley",2010,"M","AK",21
"Robert",2010,"M","AK",18
"Ryder",2010,"M","AK",15
"Richard",2010,"M","AK",13
"River",2010,"M","AK",11
"Roman",2010,"M","AK",10
"Rylan",2010,"M","AK",10
"Raymond",2010,"M","AK",5
"Rhys",2010,"M","AK",5
"Roland",2010,"M","AK",5
"Ronan",2010,"M","AK",5
"Rowan",2010,"M","AK",5
"Ryker",2010,"M","AK",5
"Ryan",2011,"M","AK",25
"Ryder",2011,"M","AK",22
"Robert",2011,"M","AK",21
"Rylan",2011,"M","AK",14
"Riley",2011,"M","AK",13
"Rowan",2011,"M","AK",10
"Ryker",2011,"M","AK",10
"Roman",2011,"M","AK",8
"Raymond",2011,"M","AK",6
"Richard",2011,"M","AK",5
"Russell",2011,"M","AK",5
"Robert",2012,"M","AK",37
"Ryan",2012,"M","AK",19
"Riley",2012,"M","AK",17
"Ryder",2012,"M","AK",14
"Ryker",2012,"M","AK",13
"Richard",2012,"M","AK",9
"Rylan",2012,"M","AK",9
"Roman",2012,"M","AK",8
"Rowan",2012,"M","AK",8
"River",2012,"M","AK",5
"Rylee",2012,"M","AK",5
"Ryan",2013,"M","AK",20
"Robert",2013,"M","AK",19
"Ryder",2013,"M","AK",16
"Rylan",2013,"M","AK",16
"Ryker",2013,"M","AK",13
"Riley",2013,"M","AK",11
"Rowan",2013,"M","AK",10
"Reed",2013,"M","AK",8
"Roman",2013,"M","AK",8
"Richard",2013,"M","AK",7
"Ronald",2013,"M","AK",7
"River",2013,"M","AK",6
"Raymond",2013,"M","AK",5
"Ryan",2014,"M","AK",26
"Robert",2014,"M","AK",21
"Ryder",2014,"M","AK",21
"Ryker",2014,"M","AK",16
"Richard",2014,"M","AK",11
"Riley",2014,"M","AK",9
"Roman",2014,"M","AK",8
"Remington",2014,"M","AK",6
"Rowan",2014,"M","AK",6
"Russell",2014,"M","AK",6
"Raymond",2014,"M","AK",5
