"Name","Year","Gender","State","Count"
"Sarah",1997,"F","AK",59
"Samantha",1997,"F","AK",44
"Shelby",1997,"F","AK",28
"Sydney",1997,"F","AK",24
"Sierra",1997,"F","AK",22
"Savannah",1997,"F","AK",20
"Sabrina",1997,"F","AK",16
"Sara",1997,"F","AK",14
"Stephanie",1997,"F","AK",12
"Sophia",1997,"F","AK",11
"Shannon",1997,"F","AK",10
"Shania",1997,"F","AK",5
"Shayla",1997,"F","AK",5
"Summer",1997,"F","AK",5
"Sarah",1998,"F","AK",59
"Samantha",1998,"F","AK",43
"Savannah",1998,"F","AK",21
"Sierra",1998,"F","AK",21
"Sydney",1998,"F","AK",21
"Shelby",1998,"F","AK",16
"Stephanie",1998,"F","AK",15
"Sara",1998,"F","AK",14
"Sabrina",1998,"F","AK",10
"Savanna",1998,"F","AK",8
"Shania",1998,"F","AK",8
"Sophia",1998,"F","AK",8
"Summer",1998,"F","AK",7
"Selena",1998,"F","AK",6
"Shannon",1998,"F","AK",6
"Serena",1998,"F","AK",5
"Sarah",1999,"F","AK",39
"Samantha",1999,"F","AK",30
"Sierra",1999,"F","AK",30
"Savannah",1999,"F","AK",22
"Sydney",1999,"F","AK",22
"Sophia",1999,"F","AK",18
"Shannon",1999,"F","AK",13
"Shelby",1999,"F","AK",12
"Sabrina",1999,"F","AK",10
"Serena",1999,"F","AK",10
"Sara",1999,"F","AK",9
"Sadie",1999,"F","AK",7
"Stephanie",1999,"F","AK",7
"Sage",1999,"F","AK",6
"Shania",1999,"F","AK",6
"Skylar",1999,"F","AK",6
"Summer",1999,"F","AK",6
"Sasha",1999,"F","AK",5
"Savanna",1999,"F","AK",5
"Selena",1999,"F","AK",5
"Sarah",2000,"F","AK",39
"Sierra",2000,"F","AK",26
"Samantha",2000,"F","AK",25
"Sydney",2000,"F","AK",24
"Savannah",2000,"F","AK",22
"Sophia",2000,"F","AK",17
"Shelby",2000,"F","AK",12
"Shannon",2000,"F","AK",10
"Skylar",2000,"F","AK",10
"Sara",2000,"F","AK",9
"Sabrina",2000,"F","AK",7
"Selena",2000,"F","AK",7
"Sadie",2000,"F","AK",5
"Serena",2000,"F","AK",5
"Skye",2000,"F","AK",5
"Skyler",2000,"F","AK",5
"Summer",2000,"F","AK",5
"Susan",2000,"F","AK",5
"Samantha",2001,"F","AK",26
"Sarah",2001,"F","AK",25
"Sierra",2001,"F","AK",22
"Sydney",2001,"F","AK",21
"Shelby",2001,"F","AK",18
"Sophia",2001,"F","AK",18
"Savannah",2001,"F","AK",17
"Sara",2001,"F","AK",16
"Sadie",2001,"F","AK",9
"Stephanie",2001,"F","AK",9
"Summer",2001,"F","AK",8
"Serena",2001,"F","AK",7
"Sofia",2001,"F","AK",7
"Sabrina",2001,"F","AK",6
"Sandra",2001,"F","AK",6
"Sophie",2001,"F","AK",6
"Serenity",2001,"F","AK",5
"Shayla",2001,"F","AK",5
"Skye",2001,"F","AK",5
"Samantha",2002,"F","AK",30
"Sarah",2002,"F","AK",29
"Sydney",2002,"F","AK",25
"Savannah",2002,"F","AK",23
"Sophia",2002,"F","AK",21
"Sierra",2002,"F","AK",18
"Shelby",2002,"F","AK",13
"Sara",2002,"F","AK",11
"Shannon",2002,"F","AK",9
"Sadie",2002,"F","AK",8
"Stephanie",2002,"F","AK",7
"Sophie",2002,"F","AK",6
"Sage",2002,"F","AK",5
"Shania",2002,"F","AK",5
"Sarah",2003,"F","AK",26
"Sophia",2003,"F","AK",21
"Savannah",2003,"F","AK",19
"Samantha",2003,"F","AK",18
"Sierra",2003,"F","AK",14
"Sydney",2003,"F","AK",13
"Shelby",2003,"F","AK",11
"Sara",2003,"F","AK",10
"Shayla",2003,"F","AK",8
"Summer",2003,"F","AK",8
"Sabrina",2003,"F","AK",7
"Skyler",2003,"F","AK",7
"Selena",2003,"F","AK",6
"Stephanie",2003,"F","AK",6
"Samara",2003,"F","AK",5
"Serena",2003,"F","AK",5
"Skye",2003,"F","AK",5
"Stella",2003,"F","AK",5
"Sophia",2004,"F","AK",28
