"Name","Year","Gender","State","Count"
"Taylor",1997,"F","AK",46
"Theresa",1997,"F","AK",7
"Tia",1997,"F","AK",6
"Tiffany",1997,"F","AK",5
"Taylor",1998,"F","AK",35
"Tessa",1998,"F","AK",9
"Tia",1998,"F","AK",8
"Theresa",1998,"F","AK",7
"Tiana",1998,"F","AK",6
"Taryn",1998,"F","AK",5
"Tatiana",1998,"F","AK",5
"Tiffany",1998,"F","AK",5
"Tyra",1998,"F","AK",5
"Taylor",1999,"F","AK",33
"Trinity",1999,"F","AK",15
"Tatiana",1999,"F","AK",9
"Tiffany",1999,"F","AK",9
"Tia",1999,"F","AK",5
"Tiana",1999,"F","AK",5
"Tori",1999,"F","AK",5
"Taylor",2000,"F","AK",25
"Trinity",2000,"F","AK",19
"Tiana",2000,"F","AK",8
"Theresa",2000,"F","AK",6
"Tia",2000,"F","AK",6
"Tara",2000,"F","AK",5
"Taylor",2001,"F","AK",27
"Trinity",2001,"F","AK",17
"Tara",2001,"F","AK",7
"Talia",2001,"F","AK",6
"Tia",2001,"F","AK",6
"Trinity",2002,"F","AK",26
"Taylor",2002,"F","AK",21
"Tiana",2002,"F","AK",6
"Tatum",2002,"F","AK",5
"Tiffany",2002,"F","AK",5
"Tori",2002,"F","AK",5
"Trinity",2003,"F","AK",27
"Taylor",2003,"F","AK",21
"Tiffany",2003,"F","AK",8
"Tia",2003,"F","AK",7
"Taryn",2003,"F","AK",5
"Tatiana",2003,"F","AK",5
"Trinity",2004,"F","AK",22
"Taylor",2004,"F","AK",21
"Tabitha",2004,"F","AK",8
"Tessa",2004,"F","AK",8
"Tiana",2004,"F","AK",6
"Tatiana",2004,"F","AK",5
"Trinity",2005,"F","AK",23
"Taylor",2005,"F","AK",21
"Tessa",2005,"F","AK",5
"Taylor",2006,"F","AK",17
"Trinity",2006,"F","AK",10
"Tatum",2006,"F","AK",6
"Tiffany",2006,"F","AK",6
"Taylor",2007,"F","AK",20
"Trinity",2007,"F","AK",19
"Tessa",2007,"F","AK",8
"Talia",2007,"F","AK",6
"Taylor",2008,"F","AK",27
"Trinity",2008,"F","AK",20
"Tessa",2008,"F","AK",6
"Tatum",2008,"F","AK",5
"Taylor",2009,"F","AK",19
"Trinity",2009,"F","AK",19
"Teagan",2009,"F","AK",9
"Tessa",2009,"F","AK",5
"Taylor",2010,"F","AK",14
"Trinity",2010,"F","AK",14
"Teagan",2010,"F","AK",8
"Thea",2010,"F","AK",6
"Tiffany",2010,"F","AK",6
"Talia",2010,"F","AK",5
"Tatum",2010,"F","AK",5
"Tessa",2010,"F","AK",5
"Trinity",2011,"F","AK",15
"Taylor",2011,"F","AK",12
"Teagan",2011,"F","AK",7
"Tiana",2011,"F","AK",7
"Taylor",2012,"F","AK",13
"Trinity",2012,"F","AK",10
"Tatum",2012,"F","AK",5
"Taylor",2013,"F","AK",12
"Trinity",2013,"F","AK",11
"Tiana",2013,"F","AK",7
"Talia",2013,"F","AK",6
"Teagan",2013,"F","AK",5
"Taylor",2014,"F","AK",11
"Trinity",2014,"F","AK",11
"Tessa",2014,"F","AK",9
"Teagan",2014,"F","AK",6
"Tyler",1997,"M","AK",57
"Thomas",1997,"M","AK",27
"Tristan",1997,"M","AK",27
"Trevor",1997,"M","AK",25
"Timothy",1997,"M","AK",22
"Taylor",1997,"M","AK",14
"Tanner",1997,"M","AK",12
"Travis",1997,"M","AK",12
"Tristen",1997,"M","AK",6
"Ty",1997,"M","AK",6
"Tucker",1997,"M","AK",5
"Tyler",1998,"M","AK",45
"Thomas",1998,"M","AK",35
"Tristan",1998,"M","AK",31
"Travis",1998,"M","AK",21
"Timothy",1998,"M","AK",20
"Trevor",1998,"M","AK",20
"Tanner",1998,"M","AK",9
"Troy",1998,"M","AK",8
"Taylor",1998,"M","AK",7
"Trenton",1998,"M","AK",7
"Tristen",1998,"M","AK",6
"Tucker",1998,"M","AK",6
"Ty",1998,"M","AK",6
"Tyler",1999,"M","AK",59
"Thomas",1999,"M","AK",29
"Trevor",1999,"M","AK",25
"Tristan",1999,"M","AK",22
"Timothy",1999,"M","AK",21
"Tanner",1999,"M","AK",12
"Travis",1999,"M","AK",9
"Tristen",1999,"M","AK",9
"Taylor",1999,"M","AK",8
"Tristin",1999,"M","AK",8
"Trenton",1999,"M","AK",6
"Theodore",1999,"M","AK",5
"Tucker",1999,"M","AK",5
"Tyler",2000,"M","AK",43
"Thomas",2000,"M","AK",29
"Trevor",2000,"M","AK",22
"Taylor",2000,"M","AK",20
"Timothy",2000,"M","AK",18
"Tristan",2000,"M","AK",16
"Travis",2000,"M","AK",14
"Tanner",2000,"M","AK",9
"Troy",2000,"M","AK",9
"Tristin",2000,"M","AK",8
"Theodore",2000,"M","AK",6
"Trace",2000,"M","AK",6
"Trenton",2000,"M","AK",6
"Tristen",2000,"M","AK",5
"Tyler",2001,"M","AK",62
"Thomas",2001,"M","AK",41
"Tristan",2001,"M","AK",23
"Trevor",2001,"M","AK",22
"Timothy",2001,"M","AK",17
"Travis",2001,"M","AK",15
"Tanner",2001,"M","AK",12
"Taylor",2001,"M","AK",10
"Trenton",2001,"M","AK",10
"Theodore",2001,"M","AK",8
"Troy",2001,"M","AK",7
"Tristen",2001,"M","AK",6
"Talon",2001,"M","AK",5
"Tyson",2001,"M","AK",5
"Tyler",2002,"M","AK",55
"Thomas",2002,"M","AK",28
"Tristan",2002,"M","AK",22
"Timothy",2002,"M","AK",21
"Trevor",2002,"M","AK",21
"Travis",2002,"M","AK",8
"Trey",2002,"M","AK",8
"Taylor",2002,"M","AK",7
"Trenton",2002,"M","AK",6
"Tucker",2002,"M","AK",6
"Tristen",2002,"M","AK",5
"Tyler",2003,"M","AK",41
"Thomas",2003,"M","AK",34
"Timothy",2003,"M","AK",20
"Trevor",2003,"M","AK",19
"Tristan",2003,"M","AK",14
"Travis",2003,"M","AK",13
"Taylor",2003,"M","AK",10
"Tanner",2003,"M","AK",8
"Trenton",2003,"M","AK",7
"Tyson",2003,"M","AK",7
"Tate",2003,"M","AK",5
"Theodore",2003,"M","AK",5
"Toby",2003,"M","AK",5
"Tristen",2003,"M","AK",5
"Troy",2003,"M","AK",5
"Tyler",2004,"M","AK",54
"Thomas",2004,"M","AK",22
"Timothy",2004,"M","AK",17
"Trevor",2004,"M","AK",13
"Tristan",2004,"M","AK",13
"Trenton",2004,"M","AK",12
"Tanner",2004,"M","AK",9
"Taylor",2004,"M","AK",6
"Travis",2004,"M","AK",6
"Troy",2004,"M","AK",5
"Tyler",2005,"M","AK",40
"Thomas",2005,"M","AK",26
"Timothy",2005,"M","AK",22
"Tristan",2005,"M","AK",17
"Trevor",2005,"M","AK",14
"Trenton",2005,"M","AK",11
"Tanner",2005,"M","AK",9
"Taylor",2005,"M","AK",8
"Travis",2005,"M","AK",8
"Troy",2005,"M","AK",8
"Tyson",2005,"M","AK",8
"Theodore",2005,"M","AK",7
"Tristen",2005,"M","AK",6
"Trent",2005,"M","AK",5
"Tyler",2006,"M","AK",37
"Thomas",2006,"M","AK",24
"Tristan",2006,"M","AK",21
"Trevor",2006,"M","AK",19
"Timothy",2006,"M","AK",14
"Taylor",2006,"M","AK",12
"Tyson",2006,"M","AK",10
"Tristen",2006,"M","AK",9
"Trenton",2006,"M","AK",8
"Travis",2006,"M","AK",7
"Trent",2006,"M","AK",7
"Troy",2006,"M","AK",7
"Tanner",2006,"M","AK",6
"Tucker",2006,"M","AK",6
"Ty",2006,"M","AK",6
"Tyler",2007,"M","AK",48
"Thomas",2007,"M","AK",36
"Tristan",2007,"M","AK",28
"Timothy",2007,"M","AK",15
"Travis",2007,"M","AK",15
"Trevor",2007,"M","AK",14
"Trenton",2007,"M","AK",12
"Tanner",2007,"M","AK",10
"Troy",2007,"M","AK",9
"Ty",2007,"M","AK",9
"Tucker",2007,"M","AK",7
"Trey",2007,"M","AK",6
"Taylor",2007,"M","AK",5
"Titus",2007,"M","AK",5
"Tristen",2007,"M","AK",5
"Tyler",2008,"M","AK",50
"Tristan",2008,"M","AK",28
"Thomas",2008,"M","AK",25
"Timothy",2008,"M","AK",19
"Tristen",2008,"M","AK",11
"Trevor",2008,"M","AK",10
"Trenton",2008,"M","AK",8
"Troy",2008,"M","AK",8
"Taylor",2008,"M","AK",7
"Theodore",2008,"M","AK",7
"Tyson",2008,"M","AK",7
"Talon",2008,"M","AK",6
"Tanner",2008,"M","AK",6
"Travis",2008,"M","AK",6
"Trey",2008,"M","AK",6
"Tucker",2008,"M","AK",6
"Titus",2008,"M","AK",5
"Tristan",2009,"M","AK",30
"Thomas",2009,"M","AK",23
"Tyler",2009,"M","AK",23
"Trevor",2009,"M","AK",21
"Tanner",2009,"M","AK",10
"Timothy",2009,"M","AK",10
"Travis",2009,"M","AK",10
"Tucker",2009,"M","AK",10
"Troy",2009,"M","AK",9
"Titus",2009,"M","AK",8
"Trent",2009,"M","AK",7
"Ty",2009,"M","AK",7
"Torin",2009,"M","AK",6
"Tommy",2009,"M","AK",5
"Trenton",2009,"M","AK",5
"Tyson",2009,"M","AK",5
"Thomas",2010,"M","AK",31
"Tyler",2010,"M","AK",29
"Tristan",2010,"M","AK",23
"Timothy",2010,"M","AK",16
"Trevor",2010,"M","AK",13
"Travis",2010,"M","AK",11
"Tanner",2010,"M","AK",9
"Trent",2010,"M","AK",8
"Theodore",2010,"M","AK",6
"Trenton",2010,"M","AK",6
"Taylor",2010,"M","AK",5
"Titus",2010,"M","AK",5
"Tristen",2010,"M","AK",5
"Tyson",2010,"M","AK",5
"Tristan",2011,"M","AK",28
"Tyler",2011,"M","AK",26
"Thomas",2011,"M","AK",20
"Tanner",2011,"M","AK",12
"Trevor",2011,"M","AK",11
"Troy",2011,"M","AK",10
"Tucker",2011,"M","AK",9
"Timothy",2011,"M","AK",8
"Trenton",2011,"M","AK",8
"Tyson",2011,"M","AK",8
"Talon",2011,"M","AK",7
"Titus",2011,"M","AK",7
"Travis",2011,"M","AK",7
"Trapper",2011,"M","AK",6
"Tristen",2011,"M","AK",6
"Theodore",2011,"M","AK",5
"Theron",2011,"M","AK",5
"Tyler",2012,"M","AK",34
"Thomas",2012,"M","AK",22
"Tristan",2012,"M","AK",19
"Timothy",2012,"M","AK",17
"Trevor",2012,"M","AK",10
"Theodore",2012,"M","AK",9
"Tanner",2012,"M","AK",8
"Tristen",2012,"M","AK",8
"Talon",2012,"M","AK",6
"Torin",2012,"M","AK",6
"Trenton",2012,"M","AK",6
"Tyson",2012,"M","AK",6
"Troy",2012,"M","AK",5
