"Name","Year","Gender","State","Count"
"Urijah",2009,"M","AK",5
"Uriah",2011,"M","AK",5
"Unique",2012,"F","AL",5
"Uriel",2000,"M","AL",5
"Uriel",2001,"M","AL",5
"Uriel",2002,"M","AL",5
"Uriel",2006,"M","AL",6
"Uriel",2007,"M","AL",8
"Uriel",2008,"M","AL",8
"Uriah",2008,"M","AL",5
"Urijah",2008,"M","AL",5
"Uriah",2009,"M","AL",6
"Urijah",2009,"M","AL",5
"Uriah",2010,"M","AL",8
"Ulises",2010,"M","AL",5
"Uriah",2011,"M","AL",6
"Uriel",2011,"M","AL",6
"Ulises",2011,"M","AL",5
"Urijah",2011,"M","AL",5
"Uriah",2012,"M","AL",7
"Ulises",2012,"M","AL",5
"Uriah",2013,"M","AL",5
"Uriah",2014,"M","AL",8
"Unique",2012,"F","AR",5
"Uriel",2001,"M","AR",7
"Uriel",2003,"M","AR",6
"Uriel",2004,"M","AR",5
"Uriel",2005,"M","AR",6
"Ulises",2007,"M","AR",5
"Uriel",2008,"M","AR",5
"Uriel",2009,"M","AR",10
"Uriah",2009,"M","AR",8
"Urijah",2009,"M","AR",6
"Uriah",2010,"M","AR",8
"Uriel",2010,"M","AR",6
"Urijah",2010,"M","AR",6
"Uriah",2012,"M","AR",5
"Uriah",2014,"M","AR",5
"Unique",1999,"F","AZ",7
"Unique",2000,"F","AZ",7
"Unique",2001,"F","AZ",7
"Unique",2002,"F","AZ",6
"Unique",2003,"F","AZ",5
"Unique",2004,"F","AZ",11
"Unique",2005,"F","AZ",11
"Unique",2006,"F","AZ",5
"Unique",2007,"F","AZ",6
"Unique",2008,"F","AZ",9
"Unique",2009,"F","AZ",9
"Unique",2010,"F","AZ",9
"Unique",2011,"F","AZ",12
"Unique",2012,"F","AZ",11
"Unique",2013,"F","AZ",8
"Unique",2014,"F","AZ",7
"Uriel",1997,"M","AZ",23
"Ulises",1997,"M","AZ",8
"Uriel",1998,"M","AZ",24
"Ulises",1998,"M","AZ",18
"Ulisses",1998,"M","AZ",5
"Ulysses",1998,"M","AZ",5
"Ulises",1999,"M","AZ",25
"Uriel",1999,"M","AZ",21
"Ulysses",1999,"M","AZ",9
"Uriah",1999,"M","AZ",5
"Ulises",2000,"M","AZ",19
"Uriel",2000,"M","AZ",11
"Ulysses",2000,"M","AZ",9
"Ulisses",2000,"M","AZ",8
"Uriah",2000,"M","AZ",8
"Uriel",2001,"M","AZ",27
"Ulises",2001,"M","AZ",18
"Ulysses",2001,"M","AZ",7
"Uriah",2001,"M","AZ",7
