"Name","Year","Gender","State","Count"
"Victoria",1997,"F","AK",24
"Vanessa",1997,"F","AK",7
"Veronica",1997,"F","AK",7
"Valerie",1997,"F","AK",5
"Victoria",1998,"F","AK",30
"Vanessa",1998,"F","AK",10
"Victoria",1999,"F","AK",28
"Vanessa",1999,"F","AK",7
"Veronica",1999,"F","AK",7
"Victoria",2000,"F","AK",27
"Vanessa",2000,"F","AK",5
"Victoria",2001,"F","AK",30
"Vanessa",2001,"F","AK",12
"Valerie",2001,"F","AK",5
"Violet",2001,"F","AK",5
"Victoria",2002,"F","AK",19
"Vanessa",2002,"F","AK",13
"Veronica",2002,"F","AK",6
"Valerie",2002,"F","AK",5
"Victoria",2003,"F","AK",15
"Vanessa",2003,"F","AK",8
"Victoria",2004,"F","AK",17
"Vanessa",2004,"F","AK",7
"Veronica",2004,"F","AK",5
"Vanessa",2005,"F","AK",11
"Victoria",2005,"F","AK",10
"Violet",2005,"F","AK",6
"Victoria",2006,"F","AK",15
"Vanessa",2006,"F","AK",11
"Violet",2006,"F","AK",9
"Violet",2007,"F","AK",10
"Victoria",2007,"F","AK",8
"Vanessa",2007,"F","AK",6
"Victoria",2008,"F","AK",15
"Valerie",2008,"F","AK",8
"Veronica",2008,"F","AK",8
"Vivian",2008,"F","AK",8
"Vanessa",2008,"F","AK",6
"Violet",2008,"F","AK",5
"Victoria",2009,"F","AK",17
"Violet",2009,"F","AK",9
"Vivian",2009,"F","AK",7
"Vanessa",2009,"F","AK",5
"Violet",2010,"F","AK",15
"Victoria",2010,"F","AK",11
"Vanessa",2010,"F","AK",8
"Violet",2011,"F","AK",12
"Victoria",2011,"F","AK",11
"Vivian",2011,"F","AK",7
"Vanessa",2011,"F","AK",5
"Virginia",2011,"F","AK",5
"Violet",2012,"F","AK",16
"Victoria",2012,"F","AK",14
"Vivian",2012,"F","AK",7
"Victoria",2013,"F","AK",20
"Violet",2013,"F","AK",17
"Vanessa",2013,"F","AK",7
"Valentina",2013,"F","AK",5
"Violet",2014,"F","AK",19
"Victoria",2014,"F","AK",12
"Vivian",2014,"F","AK",9
"Vivienne",2014,"F","AK",7
"Veronica",2014,"F","AK",5
"Vincent",1997,"M","AK",6
"Victor",1997,"M","AK",5
"Victor",1998,"M","AK",7
"Vincent",1998,"M","AK",7
"Vincent",1999,"M","AK",5
"Vincent",2000,"M","AK",8
"Victor",2000,"M","AK",5
"Vincent",2001,"M","AK",9
"Vincent",2002,"M","AK",10
"Vincent",2003,"M","AK",14
"Victor",2003,"M","AK",9
"Vincent",2004,"M","AK",7
"Vincent",2005,"M","AK",18
"Vincent",2006,"M","AK",17
"Victor",2006,"M","AK",9
"Vincent",2007,"M","AK",9
"Vincent",2008,"M","AK",10
"Vincent",2009,"M","AK",15
"Victor",2009,"M","AK",5
"Vincent",2010,"M","AK",11
"Vincent",2011,"M","AK",9
"Victor",2011,"M","AK",7
"Victor",2012,"M","AK",6
"Vincent",2012,"M","AK",6
"Vincent",2013,"M","AK",11
"Victor",2014,"M","AK",9
"Vincent",2014,"M","AK",7
"Victoria",1997,"F","AL",197
"Virginia",1997,"F","AL",22
"Veronica",1997,"F","AL",15
"Vanessa",1997,"F","AL",13
"Valencia",1997,"F","AL",11
"Valerie",1997,"F","AL",11
"Vivian",1997,"F","AL",6
"Victoria",1998,"F","AL",201
"Virginia",1998,"F","AL",20
"Vanessa",1998,"F","AL",17
"Veronica",1998,"F","AL",13
"Valerie",1998,"F","AL",9
"Vivian",1998,"F","AL",6
"Victoria",1999,"F","AL",208
"Virginia",1999,"F","AL",32
"Valerie",1999,"F","AL",18
"Veronica",1999,"F","AL",15
"Vanessa",1999,"F","AL",12
"Vivian",1999,"F","AL",8
"Valencia",1999,"F","AL",6
"Victoria",2000,"F","AL",176
"Virginia",2000,"F","AL",29
"Vanessa",2000,"F","AL",15
"Valerie",2000,"F","AL",14
"Veronica",2000,"F","AL",13
"Vivian",2000,"F","AL",6
"Victoria",2001,"F","AL",145
"Virginia",2001,"F","AL",23
"Valerie",2001,"F","AL",16
"Vivian",2001,"F","AL",14
"Vanessa",2001,"F","AL",8
"Veronica",2001,"F","AL",8
"Valencia",2001,"F","AL",7
"Victoria",2002,"F","AL",147
"Virginia",2002,"F","AL",33
"Valerie",2002,"F","AL",13
"Vivian",2002,"F","AL",10
"Vanessa",2002,"F","AL",9
"Veronica",2002,"F","AL",9
"Valeria",2002,"F","AL",8
"Valencia",2002,"F","AL",5
"Victoria",2003,"F","AL",121
"Virginia",2003,"F","AL",34
"Veronica",2003,"F","AL",15
"Vivian",2003,"F","AL",12
"Vanessa",2003,"F","AL",11
"Valerie",2003,"F","AL",10
"Valencia",2003,"F","AL",7
"Victoria",2004,"F","AL",125
"Virginia",2004,"F","AL",24
"Vivian",2004,"F","AL",18
"Veronica",2004,"F","AL",16
"Valerie",2004,"F","AL",13
"Vanessa",2004,"F","AL",10
"Valeria",2004,"F","AL",6
"Violet",2004,"F","AL",5
"Victoria",2005,"F","AL",96
"Virginia",2005,"F","AL",25
"Vanessa",2005,"F","AL",18
"Vivian",2005,"F","AL",13
"Valeria",2005,"F","AL",12
"Valerie",2005,"F","AL",9
"Veronica",2005,"F","AL",8
"Valencia",2005,"F","AL",5
"Viktoria",2005,"F","AL",5
"Violet",2005,"F","AL",5
"Victoria",2006,"F","AL",88
"Vivian",2006,"F","AL",26
"Virginia",2006,"F","AL",19
"Valeria",2006,"F","AL",16
"Vanessa",2006,"F","AL",16
"Valerie",2006,"F","AL",15
"Veronica",2006,"F","AL",8
"Violet",2006,"F","AL",5
"Victoria",2007,"F","AL",109
"Vanessa",2007,"F","AL",24
"Valeria",2007,"F","AL",18
"Virginia",2007,"F","AL",18
"Vivian",2007,"F","AL",17
"Valerie",2007,"F","AL",12
"Veronica",2007,"F","AL",9
"Violet",2007,"F","AL",7
"Valentina",2007,"F","AL",5
"Viviana",2007,"F","AL",5
"Victoria",2008,"F","AL",71
"Virginia",2008,"F","AL",27
"Valeria",2008,"F","AL",20
"Vanessa",2008,"F","AL",20
"Vivian",2008,"F","AL",18
"Violet",2008,"F","AL",11
"Valerie",2008,"F","AL",10
"Veronica",2008,"F","AL",8
"Victoria",2009,"F","AL",75
"Valeria",2009,"F","AL",24
"Virginia",2009,"F","AL",20
"Vivian",2009,"F","AL",18
"Vanessa",2009,"F","AL",16
"Violet",2009,"F","AL",13
"Valerie",2009,"F","AL",11
"Veronica",2009,"F","AL",6
"Viviana",2009,"F","AL",5
"Victoria",2010,"F","AL",64
"Vanessa",2010,"F","AL",18
"Vivian",2010,"F","AL",16
"Violet",2010,"F","AL",13
"Valeria",2010,"F","AL",11
"Veronica",2010,"F","AL",10
