"Name","Year","Gender","State","Count"
"Willow",2001,"F","AK",5
"Willow",2002,"F","AK",5
"Willow",2005,"F","AK",6
"Willow",2006,"F","AK",6
"Willow",2007,"F","AK",7
"Willow",2008,"F","AK",7
"Winter",2008,"F","AK",5
"Willow",2009,"F","AK",8
"Willow",2010,"F","AK",11
"Willow",2011,"F","AK",12
"Willow",2012,"F","AK",8
"Willow",2013,"F","AK",7
"Willow",2014,"F","AK",10
"Winter",2014,"F","AK",8
"William",1997,"M","AK",50
"Wyatt",1997,"M","AK",18
"Wesley",1997,"M","AK",13
"Walter",1997,"M","AK",9
"Warren",1997,"M","AK",5
"William",1998,"M","AK",47
"Wyatt",1998,"M","AK",13
"Walter",1998,"M","AK",8
"Wesley",1998,"M","AK",6
"William",1999,"M","AK",43
"Wesley",1999,"M","AK",16
"Wyatt",1999,"M","AK",11
"Walter",1999,"M","AK",7
"William",2000,"M","AK",65
"Wyatt",2000,"M","AK",16
"Walter",2000,"M","AK",6
"Wesley",2000,"M","AK",6
"William",2001,"M","AK",53
"Wyatt",2001,"M","AK",17
"Walter",2001,"M","AK",6
"Wesley",2001,"M","AK",5
"William",2002,"M","AK",41
"Wyatt",2002,"M","AK",12
"Wesley",2002,"M","AK",10
"Walter",2002,"M","AK",6
"William",2003,"M","AK",41
"Wyatt",2003,"M","AK",22
"Wesley",2003,"M","AK",6
"William",2004,"M","AK",39
"Wyatt",2004,"M","AK",20
"Walter",2004,"M","AK",5
"Warren",2004,"M","AK",5
"Wesley",2004,"M","AK",5
"William",2005,"M","AK",49
"Wyatt",2005,"M","AK",14
"Wesley",2005,"M","AK",7
"William",2006,"M","AK",46
"Wyatt",2006,"M","AK",24
"Wesley",2006,"M","AK",11
"Wade",2006,"M","AK",5
"Walter",2006,"M","AK",5
"William",2007,"M","AK",49
"Wyatt",2007,"M","AK",27
"Wesley",2007,"M","AK",7
"William",2008,"M","AK",40
"Wyatt",2008,"M","AK",34
"Walter",2008,"M","AK",10
"Wesley",2008,"M","AK",8
"William",2009,"M","AK",47
"Wyatt",2009,"M","AK",34
"Warren",2009,"M","AK",7
"Weston",2009,"M","AK",7
"Walter",2009,"M","AK",6
"Wesley",2009,"M","AK",6
"William",2010,"M","AK",57
"Wyatt",2010,"M","AK",35
"Wesley",2010,"M","AK",8
"Walter",2010,"M","AK",7
"William",2011,"M","AK",52
"Wyatt",2011,"M","AK",45
"Wesley",2011,"M","AK",8
"Walter",2011,"M","AK",5
"William",2012,"M","AK",42
"Wyatt",2012,"M","AK",26
"Weston",2012,"M","AK",10
"Wesley",2012,"M","AK",8
"William",2013,"M","AK",49
"Wyatt",2013,"M","AK",46
"Weston",2013,"M","AK",14
"Wesley",2013,"M","AK",9
"Waylon",2013,"M","AK",7
"Wyatt",2014,"M","AK",47
"William",2014,"M","AK",36
"Weston",2014,"M","AK",14
"Wesley",2014,"M","AK",13
"Waylon",2014,"M","AK",9
"Walter",2014,"M","AK",7
"Warren",2014,"M","AK",7
"Westin",2014,"M","AK",6
"Walker",2014,"M","AK",5
"Whitney",1997,"F","AL",65
"Wendy",1997,"F","AL",10
"Winter",1997,"F","AL",5
"Whitney",1998,"F","AL",67
"Winter",1998,"F","AL",7
"Wendy",1998,"F","AL",6
"Whitley",1998,"F","AL",5
"Whitney",1999,"F","AL",57
"Wynter",1999,"F","AL",7
"Wendy",1999,"F","AL",5
"Whitley",1999,"F","AL",5
"Whitney",2000,"F","AL",34
"Winter",2000,"F","AL",6
"Wendy",2000,"F","AL",5
"Whitley",2000,"F","AL",5
"Whitney",2001,"F","AL",29
"Wendy",2001,"F","AL",6
"Willow",2001,"F","AL",6
"Winter",2001,"F","AL",5
"Whitney",2002,"F","AL",24
"Wendy",2002,"F","AL",11
"Whitley",2002,"F","AL",7
"Whitney",2003,"F","AL",12
"Wendy",2003,"F","AL",9
"Winter",2003,"F","AL",7
"Whitley",2003,"F","AL",6
"Willow",2003,"F","AL",5
"Whitney",2004,"F","AL",16
"Wendy",2004,"F","AL",13
"Willow",2004,"F","AL",6
"Whitney",2005,"F","AL",18
"Winter",2005,"F","AL",6
"Wendy",2005,"F","AL",5
"Whitney",2006,"F","AL",27
"Wendy",2006,"F","AL",11
"Willow",2006,"F","AL",5
"Whitney",2007,"F","AL",13
"Wendy",2007,"F","AL",6
"Willow",2007,"F","AL",6
"Willa",2007,"F","AL",5
"Wynter",2007,"F","AL",5
"Whitney",2008,"F","AL",11
"Willa",2008,"F","AL",10
"Willow",2008,"F","AL",9
"Wendy",2008,"F","AL",8
"Wynter",2008,"F","AL",5
"Willow",2009,"F","AL",16
"Whitney",2009,"F","AL",13
"Wendy",2009,"F","AL",8
"Whitley",2009,"F","AL",6
"Wynter",2009,"F","AL",5
"Willow",2010,"F","AL",15
"Wendy",2010,"F","AL",7
"Whitney",2010,"F","AL",6
"Willa",2010,"F","AL",5
"Willow",2011,"F","AL",31
"Winter",2011,"F","AL",7
"Whitley",2011,"F","AL",6
"Wendy",2011,"F","AL",5
"Whitney",2011,"F","AL",5
"Willow",2012,"F","AL",33
"Whitney",2012,"F","AL",15
"Wendy",2012,"F","AL",7
"Whitley",2012,"F","AL",6
"Willow",2013,"F","AL",41
"Winter",2013,"F","AL",7
"Wynter",2013,"F","AL",6
"Willa",2013,"F","AL",5
"Willow",2014,"F","AL",48
"Willa",2014,"F","AL",13
"Whitley",2014,"F","AL",11
"Wynter",2014,"F","AL",10
"Whitney",2014,"F","AL",8
"Wendy",2014,"F","AL",5
"Winter",2014,"F","AL",5
"William",1997,"M","AL",594
"Wesley",1997,"M","AL",78
"Willie",1997,"M","AL",39
"Walter",1997,"M","AL",31
"Warren",1997,"M","AL",17
"Wyatt",1997,"M","AL",15
"Wilson",1997,"M","AL",14
"Weston",1997,"M","AL",13
"Walker",1997,"M","AL",10
"Wade",1997,"M","AL",9
"Wendell",1997,"M","AL",5
"Will",1997,"M","AL",5
"William",1998,"M","AL",701
"Wesley",1998,"M","AL",57
"Willie",1998,"M","AL",36
"Wyatt",1998,"M","AL",29
"Walter",1998,"M","AL",20
"Wilson",1998,"M","AL",18
"Walker",1998,"M","AL",15
"Warren",1998,"M","AL",15
"Weston",1998,"M","AL",13
"Will",1998,"M","AL",8
"Wade",1998,"M","AL",7
"Wayne",1998,"M","AL",7
"Winston",1998,"M","AL",6
"William",1999,"M","AL",671
"Wesley",1999,"M","AL",78
"Willie",1999,"M","AL",31
"Walker",1999,"M","AL",23
"Walter",1999,"M","AL",21
"Wyatt",1999,"M","AL",20
"Warren",1999,"M","AL",14
"Wilson",1999,"M","AL",14
"Wade",1999,"M","AL",12
"Weston",1999,"M","AL",11
"Will",1999,"M","AL",9
"Winston",1999,"M","AL",8
"William",2000,"M","AL",655
"Wesley",2000,"M","AL",73
"Wyatt",2000,"M","AL",35
"Willie",2000,"M","AL",28
"Walter",2000,"M","AL",26
"Walker",2000,"M","AL",18
"Weston",2000,"M","AL",18
"Warren",2000,"M","AL",14
"Wade",2000,"M","AL",10
"Wilson",2000,"M","AL",10
"Wayne",2000,"M","AL",8
"Winston",2000,"M","AL",8
"Will",2000,"M","AL",7
"Waylon",2000,"M","AL",5
"William",2001,"M","AL",618
"Wesley",2001,"M","AL",67
"Willie",2001,"M","AL",34
"Wyatt",2001,"M","AL",27
"Wilson",2001,"M","AL",22
"Walter",2001,"M","AL",20
"Walker",2001,"M","AL",13
"Weston",2001,"M","AL",12
"Wade",2001,"M","AL",10
"Wayne",2001,"M","AL",9
"Will",2001,"M","AL",9
"Warren",2001,"M","AL",8
"Wallace",2001,"M","AL",6
"Winston",2001,"M","AL",6
"William",2002,"M","AL",619
"Wesley",2002,"M","AL",57
"Wyatt",2002,"M","AL",25
"Walker",2002,"M","AL",23
"Willie",2002,"M","AL",21
"Wilson",2002,"M","AL",18
"Walter",2002,"M","AL",16
"Weston",2002,"M","AL",14
"Waylon",2002,"M","AL",10
"Winston",2002,"M","AL",10
"Wendell",2002,"M","AL",5
"William",2003,"M","AL",616
"Wesley",2003,"M","AL",66
"Wyatt",2003,"M","AL",33
"Walker",2003,"M","AL",31
"Walter",2003,"M","AL",26
"Willie",2003,"M","AL",17
"Warren",2003,"M","AL",16
"Weston",2003,"M","AL",16
"Waylon",2003,"M","AL",9
"Wilson",2003,"M","AL",9
"Wade",2003,"M","AL",7
"Will",2003,"M","AL",5
"Winston",2003,"M","AL",5
"William",2004,"M","AL",639
"Wesley",2004,"M","AL",49
"Wyatt",2004,"M","AL",45
"Walker",2004,"M","AL",37
"Willie",2004,"M","AL",25
"Walter",2004,"M","AL",22
"Wilson",2004,"M","AL",20
"Warren",2004,"M","AL",11
"Weston",2004,"M","AL",11
"Waylon",2004,"M","AL",9
"Will",2004,"M","AL",8
"Wayne",2004,"M","AL",6
"Willis",2004,"M","AL",6
"William",2005,"M","AL",550
"Wesley",2005,"M","AL",66
"Wyatt",2005,"M","AL",51
"Walker",2005,"M","AL",33
"Willie",2005,"M","AL",19
"Walter",2005,"M","AL",18
"Weston",2005,"M","AL",17
"Wilson",2005,"M","AL",15
"Warren",2005,"M","AL",12
"Will",2005,"M","AL",7
"Wade",2005,"M","AL",6
"Winston",2005,"M","AL",6
"Waylon",2005,"M","AL",5
"Wayne",2005,"M","AL",5
"William",2006,"M","AL",609
"Wyatt",2006,"M","AL",65
"Wesley",2006,"M","AL",60
"Walker",2006,"M","AL",44
"Willie",2006,"M","AL",24
"Walter",2006,"M","AL",17
"Wilson",2006,"M","AL",16
"Weston",2006,"M","AL",13
"Waylon",2006,"M","AL",10
"Winston",2006,"M","AL",8
"Wade",2006,"M","AL",6
"Warren",2006,"M","AL",6
"Wiley",2006,"M","AL",6
"William",2007,"M","AL",551
"Wyatt",2007,"M","AL",66
"Wesley",2007,"M","AL",54
"Weston",2007,"M","AL",25
"Walker",2007,"M","AL",24
"Willie",2007,"M","AL",18
"Walter",2007,"M","AL",17
"Wilson",2007,"M","AL",15
"Will",2007,"M","AL",12
"Waylon",2007,"M","AL",9
"Wallace",2007,"M","AL",6
"Warren",2007,"M","AL",6
"Wendell",2007,"M","AL",5
"William",2008,"M","AL",536
"Wyatt",2008,"M","AL",96
"Wesley",2008,"M","AL",55
"Walter",2008,"M","AL",21
"Weston",2008,"M","AL",21
"Willie",2008,"M","AL",21
"Walker",2008,"M","AL",17
"Waylon",2008,"M","AL",14
"Warren",2008,"M","AL",13
"Wilson",2008,"M","AL",8
"Will",2008,"M","AL",7
"Wade",2008,"M","AL",6
"Winston",2008,"M","AL",6
"Wayne",2008,"M","AL",5
"Wiley",2008,"M","AL",5
"William",2009,"M","AL",508
"Wyatt",2009,"M","AL",82
"Wesley",2009,"M","AL",41
"Walker",2009,"M","AL",26
"Weston",2009,"M","AL",24
"Warren",2009,"M","AL",19
"Willie",2009,"M","AL",19
"Walter",2009,"M","AL",18
"Waylon",2009,"M","AL",14
"Wilson",2009,"M","AL",9
"Winston",2009,"M","AL",7
"Will",2009,"M","AL",5
"William",2010,"M","AL",496
"Wyatt",2010,"M","AL",86
"Wesley",2010,"M","AL",48
"Walker",2010,"M","AL",39
"Weston",2010,"M","AL",32
"Walter",2010,"M","AL",18
"Waylon",2010,"M","AL",17
"Warren",2010,"M","AL",15
"Willie",2010,"M","AL",14
"Wilson",2010,"M","AL",9
"Wade",2010,"M","AL",8
"Will",2010,"M","AL",6
"Wayne",2010,"M","AL",5
"Westin",2010,"M","AL",5
"Winston",2010,"M","AL",5
"William",2011,"M","AL",445
"Wyatt",2011,"M","AL",94
"Wesley",2011,"M","AL",43
"Weston",2011,"M","AL",35
"Walter",2011,"M","AL",24
"Walker",2011,"M","AL",20
"Willie",2011,"M","AL",20
"Waylon",2011,"M","AL",16
"Warren",2011,"M","AL",14
"Wilson",2011,"M","AL",11
"Wade",2011,"M","AL",7
"Wheeler",2011,"M","AL",5
"Will",2011,"M","AL",5
"William",2012,"M","AL",437
"Wyatt",2012,"M","AL",86
"Weston",2012,"M","AL",46
"Wesley",2012,"M","AL",44
"Walker",2012,"M","AL",32
"Walter",2012,"M","AL",21
"Willie",2012,"M","AL",21
"Waylon",2012,"M","AL",19
"Wilson",2012,"M","AL",15
"Warren",2012,"M","AL",11
"Will",2012,"M","AL",9
"Winston",2012,"M","AL",8
"Wade",2012,"M","AL",6
"Westin",2012,"M","AL",5
"William",2013,"M","AL",437
"Wyatt",2013,"M","AL",93
"Weston",2013,"M","AL",51
"Wesley",2013,"M","AL",45
"Walker",2013,"M","AL",35
"Waylon",2013,"M","AL",29
"Walter",2013,"M","AL",20
"Warren",2013,"M","AL",15
"Willie",2013,"M","AL",13
"Wilson",2013,"M","AL",10
"Wade",2013,"M","AL",7
"Winston",2013,"M","AL",7
"Will",2013,"M","AL",6
"William",2014,"M","AL",427
"Wyatt",2014,"M","AL",132
"Wesley",2014,"M","AL",50
"Weston",2014,"M","AL",39
"Walker",2014,"M","AL",37
"Walter",2014,"M","AL",28
"Waylon",2014,"M","AL",26
"Warren",2014,"M","AL",18
"Wilson",2014,"M","AL",17
"Willie",2014,"M","AL",14
"Will",2014,"M","AL",7
"Wade",2014,"M","AL",6
"Wallace",2014,"M","AL",6
"Wells",2014,"M","AL",6
"Westin",2014,"M","AL",5
"Winston",2014,"M","AL",5
"Whitney",1997,"F","AR",49
"Whitley",1997,"F","AR",9
"Wendy",1997,"F","AR",5
"Whitney",1998,"F","AR",47
"Wendy",1998,"F","AR",7
"Whitley",1998,"F","AR",7
"Whitney",1999,"F","AR",44
"Whitley",1999,"F","AR",8
"Wendy",1999,"F","AR",5
"Winter",1999,"F","AR",5
"Whitney",2000,"F","AR",28
"Whitley",2000,"F","AR",6
"Willow",2000,"F","AR",5
"Whitney",2001,"F","AR",21
"Wendy",2001,"F","AR",11
"Whitney",2002,"F","AR",23
"Wendy",2002,"F","AR",7
"Whitley",2002,"F","AR",5
"Whitney",2003,"F","AR",20
"Winter",2003,"F","AR",5
"Whitney",2004,"F","AR",17
"Wendy",2004,"F","AR",7
"Willow",2004,"F","AR",6
"Winter",2004,"F","AR",5
"Whitney",2005,"F","AR",23
"Winter",2005,"F","AR",7
"Wendy",2005,"F","AR",5
"Whitley",2005,"F","AR",5
"Willow",2005,"F","AR",5
"Whitney",2006,"F","AR",14
"Wendy",2006,"F","AR",5
"Whitney",2007,"F","AR",14
"Willow",2007,"F","AR",7
"Willow",2008,"F","AR",8
"Whitney",2008,"F","AR",7
"Wendy",2008,"F","AR",6
"Whitley",2008,"F","AR",5
"Willow",2009,"F","AR",17
"Whitney",2009,"F","AR",10
"Wendy",2009,"F","AR",9
"Whitley",2009,"F","AR",5
"Willow",2010,"F","AR",15
"Whitley",2010,"F","AR",8
"Willa",2010,"F","AR",6
"Wendy",2010,"F","AR",5
"Willow",2011,"F","AR",27
"Whitley",2011,"F","AR",12
"Whitney",2011,"F","AR",5
"Willow",2012,"F","AR",28
"Whitley",2012,"F","AR",9
"Winter",2012,"F","AR",7
"Wendy",2012,"F","AR",6
