"Name","Year","Gender","State","Count"
"Xavier",1997,"M","AK",7
"Xavier",1999,"M","AK",8
"Xavier",2000,"M","AK",7
"Xavier",2001,"M","AK",7
"Xavier",2002,"M","AK",7
"Xander",2003,"M","AK",8
"Xavier",2003,"M","AK",7
"Xander",2004,"M","AK",13
"Xavier",2004,"M","AK",6
"Xander",2005,"M","AK",5
"Xavier",2005,"M","AK",5
"Xavier",2006,"M","AK",12
"Xavier",2007,"M","AK",16
"Xander",2007,"M","AK",10
"Xavier",2008,"M","AK",15
"Xavier",2009,"M","AK",11
"Xander",2009,"M","AK",7
"Xavier",2010,"M","AK",16
"Xander",2010,"M","AK",6
"Xavier",2011,"M","AK",9
"Xander",2011,"M","AK",5
"Xavier",2012,"M","AK",9
"Xander",2012,"M","AK",8
"Xavier",2013,"M","AK",9
"Xander",2013,"M","AK",5
"Xander",2014,"M","AK",13
"Xavier",2014,"M","AK",12
"Ximena",2005,"F","AL",6
"Ximena",2007,"F","AL",5
"Ximena",2008,"F","AL",6
"Xiomara",2008,"F","AL",6
"Ximena",2009,"F","AL",5
"Ximena",2010,"F","AL",8
"Ximena",2011,"F","AL",6
"Ximena",2012,"F","AL",6
"Ximena",2013,"F","AL",12
"Ximena",2014,"F","AL",13
"Xavier",1997,"M","AL",49
"Xavier",1998,"M","AL",57
"Xavier",1999,"M","AL",57
"Xavier",2000,"M","AL",53
"Xzavier",2000,"M","AL",10
"Xavier",2001,"M","AL",66
"Xzavier",2001,"M","AL",8
"Xavier",2002,"M","AL",65
"Xzavier",2002,"M","AL",9
"Xander",2002,"M","AL",5
"Xavier",2003,"M","AL",72
"Xander",2003,"M","AL",22
"Xzavier",2003,"M","AL",9
"Xavier",2004,"M","AL",63
"Xander",2004,"M","AL",18
"Xzavier",2004,"M","AL",9
"Xavier",2005,"M","AL",64
"Xander",2005,"M","AL",10
"Xzavier",2005,"M","AL",5
"Xavier",2006,"M","AL",83
"Xander",2006,"M","AL",17
"Xzavier",2006,"M","AL",11
"Xavion",2006,"M","AL",6
"Xavier",2007,"M","AL",73
"Xzavier",2007,"M","AL",11
"Xander",2007,"M","AL",10
"Xavier",2008,"M","AL",60
"Xander",2008,"M","AL",10
"Xzavier",2008,"M","AL",6
"Xavion",2008,"M","AL",5
"Xavier",2009,"M","AL",61
"Xander",2009,"M","AL",13
"Xzavier",2009,"M","AL",8
"Xavion",2009,"M","AL",7
"Xavier",2010,"M","AL",64
"Xander",2010,"M","AL",15
"Xzavier",2010,"M","AL",6
"Xavier",2011,"M","AL",58
"Xander",2011,"M","AL",20
"Xzavier",2011,"M","AL",5
"Xavier",2012,"M","AL",52
"Xander",2012,"M","AL",17
"Xavier",2013,"M","AL",44
"Xander",2013,"M","AL",23
"Xzavier",2013,"M","AL",5
"Xavier",2014,"M","AL",37
"Xander",2014,"M","AL",20
"Xzavier",2014,"M","AL",7
"Ximena",2008,"F","AR",5
"Ximena",2010,"F","AR",7
"Ximena",2011,"F","AR",9
"Ximena",2013,"F","AR",11
"Ximena",2014,"F","AR",18
"Xavier",1997,"M","AR",30
"Xavier",1998,"M","AR",30
"Xavier",1999,"M","AR",26
"Xavier",2000,"M","AR",38
"Xavier",2001,"M","AR",37
"Xavier",2002,"M","AR",33
"Xander",2002,"M","AR",5
"Xavier",2003,"M","AR",30
"Xander",2003,"M","AR",15
"Xavier",2004,"M","AR",32
"Xander",2004,"M","AR",19
"Xavier",2005,"M","AR",22
"Xander",2005,"M","AR",19
"Xavier",2006,"M","AR",42
"Xander",2006,"M","AR",19
"Xavion",2006,"M","AR",5
"Xzavier",2006,"M","AR",5
"Xavier",2007,"M","AR",43
"Xander",2007,"M","AR",17
"Xavier",2008,"M","AR",38
"Xander",2008,"M","AR",18
"Xavier",2009,"M","AR",27
"Xander",2009,"M","AR",18
"Xander",2010,"M","AR",23
"Xavier",2010,"M","AR",22
"Xavier",2011,"M","AR",35
"Xander",2011,"M","AR",30
"Xavier",2012,"M","AR",30
"Xander",2012,"M","AR",23
"Xavier",2013,"M","AR",33
"Xander",2013,"M","AR",23
"Xzavier",2013,"M","AR",5
"Xavier",2014,"M","AR",30
"Xander",2014,"M","AR",22
"Xena",1997,"F","AZ",7
"Xenia",1997,"F","AZ",5
"Xochitl",1997,"F","AZ",5
"Xena",1998,"F","AZ",9
"Ximena",1999,"F","AZ",7
"Xochitl",1999,"F","AZ",6
"Xiomara",1999,"F","AZ",5
"Ximena",2000,"F","AZ",7
"Xochitl",2000,"F","AZ",7
"Xiomara",2000,"F","AZ",5
"Ximena",2001,"F","AZ",19
"Xiomara",2001,"F","AZ",8
"Xochitl",2001,"F","AZ",6
"Ximena",2002,"F","AZ",30
"Xochitl",2002,"F","AZ",6
"Ximena",2003,"F","AZ",45
"Xiomara",2003,"F","AZ",9
"Xitlaly",2003,"F","AZ",7
"Ximena",2004,"F","AZ",54
"Xiomara",2004,"F","AZ",17
"Xitlali",2004,"F","AZ",11
"Xochitl",2004,"F","AZ",9
"Xitlaly",2004,"F","AZ",8
"Xenia",2004,"F","AZ",5
"Ximena",2005,"F","AZ",51
"Xiomara",2005,"F","AZ",10
"Xochitl",2005,"F","AZ",8
"Xitlali",2005,"F","AZ",6
"Xitlaly",2005,"F","AZ",6
"Ximena",2006,"F","AZ",52
"Xiomara",2006,"F","AZ",17
"Xochitl",2006,"F","AZ",8
"Ximena",2007,"F","AZ",58
"Xiomara",2007,"F","AZ",18
"Xochitl",2007,"F","AZ",9
"Xitlali",2007,"F","AZ",6
"Xitlaly",2007,"F","AZ",5
"Ximena",2008,"F","AZ",63
"Xochitl",2008,"F","AZ",13
"Xiomara",2008,"F","AZ",10
"Xitlaly",2008,"F","AZ",6
"Xitlali",2008,"F","AZ",5
"Ximena",2009,"F","AZ",64
"Xochitl",2009,"F","AZ",13
"Xiomara",2009,"F","AZ",9
"Xitlali",2009,"F","AZ",6
"Xitlaly",2009,"F","AZ",5
"Xoe",2009,"F","AZ",5
"Ximena",2010,"F","AZ",62
"Xitlali",2010,"F","AZ",8
"Xochitl",2010,"F","AZ",7
"Xiomara",2010,"F","AZ",6
"Ximena",2011,"F","AZ",75
"Xiomara",2011,"F","AZ",10
"Xenia",2011,"F","AZ",6
"Xitlali",2011,"F","AZ",6
"Ximena",2012,"F","AZ",82
"Xochitl",2012,"F","AZ",13
"Xiomara",2012,"F","AZ",9
"Xitlali",2012,"F","AZ",6
"Ximena",2013,"F","AZ",78
"Xiomara",2013,"F","AZ",8
"Ximena",2014,"F","AZ",125
"Xochitl",2014,"F","AZ",9
"Xitlali",2014,"F","AZ",7
"Xiomara",2014,"F","AZ",5
"Xavier",1997,"M","AZ",87
"Xavier",1998,"M","AZ",86
"Xavier",1999,"M","AZ",83
"Xavier",2000,"M","AZ",116
"Xavier",2001,"M","AZ",112
"Xander",2001,"M","AZ",8
"Xavier",2002,"M","AZ",147
"Xander",2002,"M","AZ",6
"Xavier",2003,"M","AZ",161
"Xander",2003,"M","AZ",48
"Xzavier",2003,"M","AZ",8
"Xavier",2004,"M","AZ",182
"Xander",2004,"M","AZ",27
"Xzavier",2004,"M","AZ",9
"Xavier",2005,"M","AZ",173
"Xander",2005,"M","AZ",30
"Xzavier",2005,"M","AZ",5
"Xavier",2006,"M","AZ",244
"Xander",2006,"M","AZ",39
"Xzavier",2006,"M","AZ",10
"Xavior",2006,"M","AZ",6
"Xavier",2007,"M","AZ",224
"Xander",2007,"M","AZ",42
"Xzavier",2007,"M","AZ",6
"Xavier",2008,"M","AZ",212
"Xander",2008,"M","AZ",35
"Xzavier",2008,"M","AZ",11
"Xavier",2009,"M","AZ",208
"Xander",2009,"M","AZ",49
"Xzavier",2009,"M","AZ",18
"Xavion",2009,"M","AZ",5
"Xavier",2010,"M","AZ",199
"Xander",2010,"M","AZ",33
"Xzavier",2010,"M","AZ",20
"Xavi",2010,"M","AZ",7
"Xavier",2011,"M","AZ",189
"Xander",2011,"M","AZ",61
