"Name","Year","Gender","State","Count"
"Yasmine",1997,"F","AL",10
"Yasmine",1998,"F","AL",11
"Yvette",1998,"F","AL",5
"Yasmine",1999,"F","AL",15
"Yesenia",1999,"F","AL",5
"Yasmine",2000,"F","AL",12
"Yasmine",2001,"F","AL",14
"Yasmine",2002,"F","AL",21
"Yesenia",2002,"F","AL",6
"Yasmine",2003,"F","AL",11
"Yasmin",2003,"F","AL",7
"Yesenia",2004,"F","AL",8
"Yasmine",2004,"F","AL",7
"Yasmin",2004,"F","AL",6
"Yazmin",2004,"F","AL",5
"Yasmine",2005,"F","AL",13
"Yasmin",2005,"F","AL",8
"Yadira",2005,"F","AL",5
"Yazmin",2005,"F","AL",5
"Yasmin",2006,"F","AL",11
"Yazmin",2006,"F","AL",7
"Yadira",2006,"F","AL",6
"Yasmine",2006,"F","AL",6
"Yesenia",2006,"F","AL",6
"Yahaira",2006,"F","AL",5
"Yaretzi",2006,"F","AL",5
"Yoselin",2006,"F","AL",5
"Yasmin",2007,"F","AL",11
"Yasmine",2007,"F","AL",8
"Yadira",2007,"F","AL",6
"Yuridia",2007,"F","AL",6
"Yara",2007,"F","AL",5
"Yazmin",2007,"F","AL",5
"Yocelin",2007,"F","AL",5
"Yoselin",2007,"F","AL",5
"Yasmin",2008,"F","AL",9
"Yadira",2008,"F","AL",8
"Yasmine",2008,"F","AL",8
"Yoselin",2008,"F","AL",8
"Yazmine",2008,"F","AL",6
"Yareli",2009,"F","AL",6
"Yasmin",2009,"F","AL",6
"Yesenia",2009,"F","AL",6
"Yoselin",2009,"F","AL",6
"Yamilet",2009,"F","AL",5
"Yolanda",2009,"F","AL",5
"Yareli",2010,"F","AL",6
"Yaretzi",2011,"F","AL",11
"Yoselin",2011,"F","AL",8
"Yasmin",2011,"F","AL",6
"Yoselin",2012,"F","AL",6
"Yareli",2012,"F","AL",5
"Yoselin",2013,"F","AL",6
"Yaretzi",2013,"F","AL",5
"Yaretzi",2014,"F","AL",8
"Yahir",2003,"M","AL",13
"Yair",2003,"M","AL",5
"Yahir",2004,"M","AL",13
"Yahir",2005,"M","AL",9
"Yahir",2006,"M","AL",7
"Yusuf",2006,"M","AL",5
"Yahir",2007,"M","AL",7
"Yahir",2008,"M","AL",7
"Yandel",2008,"M","AL",6
"Yahir",2009,"M","AL",5
