"Name","Year","Gender","State","Count"
"Zoe",1997,"F","AK",13
"Zoe",1998,"F","AK",11
"Zoey",1998,"F","AK",5
"Zoe",1999,"F","AK",8
"Zoe",2000,"F","AK",12
"Zoe",2001,"F","AK",11
"Zoe",2002,"F","AK",18
"Zoey",2002,"F","AK",5
"Zoe",2003,"F","AK",12
"Zoey",2003,"F","AK",5
"Zoe",2004,"F","AK",18
"Zoey",2004,"F","AK",6
"Zoe",2005,"F","AK",15
"Zoey",2005,"F","AK",7
"Zoe",2006,"F","AK",12
"Zoey",2006,"F","AK",9
"Zoe",2007,"F","AK",17
"Zoey",2007,"F","AK",9
"Zoe",2008,"F","AK",16
"Zoey",2008,"F","AK",6
"Zoey",2009,"F","AK",12
"Zoe",2009,"F","AK",11
"Zoe",2010,"F","AK",19
"Zoey",2010,"F","AK",19
"Zoey",2011,"F","AK",30
"Zoe",2011,"F","AK",19
"Zoey",2012,"F","AK",19
"Zoe",2012,"F","AK",10
"Zoey",2013,"F","AK",15
"Zoe",2013,"F","AK",9
"Zoey",2014,"F","AK",22
"Zoe",2014,"F","AK",13
"Zachary",1997,"M","AK",56
"Zane",1997,"M","AK",7
"Zachery",1997,"M","AK",5
"Zachary",1998,"M","AK",33
"Zachariah",1998,"M","AK",8
"Zane",1998,"M","AK",6
"Zachary",1999,"M","AK",36
"Zane",1999,"M","AK",11
"Zachery",1999,"M","AK",7
"Zachary",2000,"M","AK",52
"Zane",2000,"M","AK",5
"Zachary",2001,"M","AK",39
"Zion",2001,"M","AK",5
"Zachary",2002,"M","AK",34
"Zackary",2002,"M","AK",6
"Zane",2002,"M","AK",6
"Zachary",2003,"M","AK",33
"Zachary",2004,"M","AK",27
"Zane",2004,"M","AK",9
"Zander",2004,"M","AK",5
"Zachary",2005,"M","AK",40
"Zane",2005,"M","AK",6
"Zachary",2006,"M","AK",24
"Zane",2006,"M","AK",9
"Zackary",2006,"M","AK",6
"Zachary",2007,"M","AK",33
"Zachary",2008,"M","AK",21
"Zachariah",2008,"M","AK",7
"Zander",2008,"M","AK",7
"Zane",2008,"M","AK",5
"Zachary",2009,"M","AK",25
"Zackary",2009,"M","AK",5
"Zander",2009,"M","AK",5
"Zion",2009,"M","AK",5
"Zachary",2010,"M","AK",22
"Zane",2010,"M","AK",6
"Zander",2010,"M","AK",5
