expedition_id,peak_name,year,season,basecamp_date,highpoint_date,termination_date,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used,trekking_agency
EVER88401,Everest,1988,Winter,11/10/1988,12/22/1988,NA,Accident (death or serious injury),8700,17,0,10,1,TRUE,Mountain Travel
EVER88402,Everest,1988,Winter,12/8/1988,1/10/1989,1/12/1989,"Bad weather (storms, high winds)",7800,11,0,7,0,FALSE,NA
EVER89306,Everest,1989,Autumn,8/21/1989,10/14/1989,10/15/1989,"Bad weather (storms, high winds)",7800,2,0,0,0,TRUE,None
EVER89310,Everest,1989,Autumn,9/1/1989,9/25/1989,10/7/1989,"Bad weather (storms, high winds)",7500,4,0,0,0,FALSE,Trekking International
EVER89305,Everest,1989,Autumn,8/17/1989,9/25/1989,10/1/1989,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8100,6,0,0,0,FALSE,Sherpa Society
EVER89311,Everest,1989,Autumn,9/2/1989,9/7/1989,10/4/1989,"Bad weather (storms, high winds)",7800,6,0,1,0,FALSE,Everest Trekking
EVER89302,Everest,1989,Autumn,8/13/1989,10/11/1989,NA,"Bad weather (storms, high winds)",8000,10,0,4,0,TRUE,Rover Treks
EVER89304,Everest,1989,Autumn,8/16/1989,10/3/1989,NA,"Bad weather (storms, high winds)",8300,22,0,5,0,FALSE,Sherpa Society
EVER89307,Everest,1989,Autumn,8/23/1989,10/24/1989,10/29/1989,"Bad weather (storms, high winds)",8600,17,0,2,0,TRUE,White Magic
EVER89303,Everest,1989,Autumn,8/15/1989,10/11/1989,10/19/1989,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7800,27,0,5,0,FALSE,Everest Trekking
EVER83402,Everest,1983,Winter,10/21/1983,12/9/1983,NA,"Bad weather (storms, high winds)",8100,18,0,13,0,TRUE,Express
EVER85302,Everest,1985,Autumn,8/9/1985,9/9/1985,10/4/1985,Accident (death or serious injury),8200,10,1,0,0,TRUE,NA
EVER85301,Everest,1985,Autumn,8/5/1985,9/23/1985,10/9/1985,"Bad weather (storms, high winds)",7315,14,0,0,0,TRUE,NA
