Itinerary,Leg,Departure_Airport,Departure_Airport_IATA_Abbrv,Departure_Time,Arrival_Airport,Arrival_Airport_IATA_Abbrv,Arrival_Time,Flight_Duration,Aircraft,Airline,Flight_Number,Flight_Overnight,Layover_Duration
1,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,630
1,2,Vancouver International Airport (YVR),YVR,2024-02-10 21:10,Harry Reid International Airport,LAS,2024-02-10 23:58,168,Boeing 737MAX 8 Passenger,Air Canada,AC 1060,FALSE,0
2,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,950
2,2,Daniel K. Inouye International Airport,HNL,2024-02-10 23:30,Harry Reid International Airport,LAS,2024-02-11 7:10,340,Airbus A330,Hawaiian,HA 8,TRUE,0
3,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,355
3,2,Los Angeles International Airport,LAX,2024-02-10 16:45,Harry Reid International Airport,LAS,2024-02-10 17:58,73,Boeing 737,United,UA 1062,FALSE,0
4,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,565
4,2,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
5,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,1303
5,2,Los Angeles International Airport,LAX,2024-02-11 8:33,Harry Reid International Airport,LAS,2024-02-11 9:46,73,Boeing 737MAX 8 Passenger,United,UA 1006,FALSE,0
6,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,485
6,2,Los Angeles International Airport,LAX,2024-02-10 18:55,San Francisco International Airport,SFO,2024-02-10 20:28,93,Airbus A320,United,UA 1727,FALSE,132
6,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
7,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,325
7,2,Los Angeles International Airport,LAX,2024-02-10 16:15,San Francisco International Airport,SFO,2024-02-10 17:48,93,Boeing 757,United,UA 1705,FALSE,82
7,3,San Francisco International Airport,SFO,2024-02-10 19:10,Harry Reid International Airport,LAS,2024-02-10 20:55,105,Boeing 737,United,UA 1847,FALSE,0
8,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,170
8,2,Vancouver International Airport (YVR),YVR,2024-02-10 13:30,San Francisco International Airport,SFO,2024-02-10 15:55,145,Boeing 737MAX 8 Passenger,Air Canada,AC 566,FALSE,210
8,3,San Francisco International Airport,SFO,2024-02-10 19:25,Harry Reid International Airport,LAS,2024-02-10 21:00,95,Boeing 737MAX 9 Passenger,Alaska,AS 740,FALSE,0
9,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,325
9,2,Los Angeles International Airport,LAX,2024-02-10 16:15,San Francisco International Airport,SFO,2024-02-10 17:48,93,Boeing 757,United,UA 1705,FALSE,292
9,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
10,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,145
10,2,Los Angeles International Airport,LAX,2024-02-10 13:15,San Francisco International Airport,SFO,2024-02-10 14:48,93,Boeing 737MAX 8 Passenger,United,UA 1706,FALSE,472
10,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
11,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,145
11,2,Los Angeles International Airport,LAX,2024-02-10 13:15,San Francisco International Airport,SFO,2024-02-10 14:48,93,Boeing 737MAX 8 Passenger,United,UA 1706,FALSE,262
11,3,San Francisco International Airport,SFO,2024-02-10 19:10,Harry Reid International Airport,LAS,2024-02-10 20:55,105,Boeing 737,United,UA 1847,FALSE,0
12,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,254
12,2,San Francisco International Airport,SFO,2024-02-10 13:29,Los Angeles International Airport,LAX,2024-02-10 15:01,92,Boeing 737,United,UA 1312,FALSE,104
12,3,Los Angeles International Airport,LAX,2024-02-10 16:45,Harry Reid International Airport,LAS,2024-02-10 17:58,73,Boeing 737,United,UA 1062,FALSE,0
13,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,415
13,2,San Francisco International Airport,SFO,2024-02-10 16:10,Los Angeles International Airport,LAX,2024-02-10 17:42,92,Boeing 757,United,UA 1413,FALSE,153
13,3,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
14,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,145
14,2,Los Angeles International Airport,LAX,2024-02-10 13:15,San Francisco International Airport,SFO,2024-02-10 14:48,93,Boeing 737MAX 8 Passenger,United,UA 1706,FALSE,162
14,3,San Francisco International Airport,SFO,2024-02-10 17:30,Harry Reid International Airport,LAS,2024-02-10 19:15,105,Boeing 737MAX 9 Passenger,United,UA 1896,FALSE,0
15,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,80
15,2,San Francisco International Airport,SFO,2024-02-10 10:35,Los Angeles International Airport,LAX,2024-02-10 12:10,95,Boeing 737MAX 8 Passenger,United,UA 1897,FALSE,275
15,3,Los Angeles International Airport,LAX,2024-02-10 16:45,Harry Reid International Airport,LAS,2024-02-10 17:58,73,Boeing 737,United,UA 1062,FALSE,0
16,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,254
16,2,San Francisco International Airport,SFO,2024-02-10 13:29,Los Angeles International Airport,LAX,2024-02-10 15:01,92,Boeing 737,United,UA 1312,FALSE,314
16,3,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
17,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,80
17,2,San Francisco International Airport,SFO,2024-02-10 10:35,Los Angeles International Airport,LAX,2024-02-10 12:10,95,Boeing 737MAX 8 Passenger,United,UA 1897,FALSE,485
