Date,Time Zone,City,State,Stadium Name,Opener 1,Opener 2,Surprise Song #1,Surprise Song #2
2023-03-17,MST,Glendale,AZ,State Farm Stadium,Paramore,GAYLE,Mirrorball,Tim McGraw
2023-03-18,MST,Glendale,AZ,State Farm Stadium,Paramore,GAYLE,State of Grace,This is me Trying
2023-03-24,PST,Las Vegas,NV,Allegiant Stadium,beabadoobee,GAYLE,Our Song,Snow on the Beach
2023-03-25,PST,Las Vegas,NV,Allegiant Stadium,beabadoobee,GAYLE,Cowboy Like Me,White Horse
2023-03-31,CST,Arlington,TX,AT&T Stadium,MUNA,GAYLE,Sad Beautiful Tragic,Ours
2023-04-01,CST,Arlington,TX,AT&T Stadium,beabadoobee,Gracie Abrams,Death by a Thousand Cuts,Clean
2023-04-02,CST,Arlington,TX,AT&T Stadium,beabadoobee,Gracie Abrams,Jump Then Fall,The Lucky One
2023-04-13,EST,Tampa,FL,Raymond James Stadium,beabadoobee,GAYLE,Speak Now,Treacherous
2023-04-14,EST,Tampa,FL,Raymond James Stadium,beabadoobee,Gracie Abrams,The Great War,You're on Your Own Kid
2023-04-15,EST,Tampa,FL,Raymond James Stadium,beabadoobee,Gracie Abrams,Mad Woman,Mean
2023-04-21,CST,Houston,TX,NRG Stadium,beabadoobee,Gracie Abrams,Wonderland,You're Not Sorry
2023-04-22,CST,Houston,TX,NRG Stadium,beabadoobee,Gracie Abrams,A Place in this World,Today was a Fairytale
2023-04-23,CST,Houston,TX,NRG Stadium,beabadoobee,Gracie Abrams,Begin Again,Cold As You
2023-04-28,EST,Atlanta,GA,Mercedes-Benz Stadium,beabadoobee,Gracie Abrams,The Other Side of the Door,Coney Island
2023-04-29,EST,Atlanta,GA,Mercedes-Benz Stadium,beabadoobee,Gracie Abrams,High Infidelity,Gorgeous
2023-04-30,EST,Atlanta,GA,Mercedes-Benz Stadium,MUNA,GAYLE,I Bet You Think About Me,How You Get the Girl
2023-05-05,CST,Nashville,TN,Nissan Stadium,Phoebe Bridgers,Gracie Abrams,Sparks Fly,Teardrops on My Guitar
2023-05-06,CST,Nashville,TN,Nissan Stadium,Phoebe Bridgers,GAYLE,Out of the Woods,Fifteen
2023-05-07,CST,Nashville,TN,Nissan Stadium,Phoebe Bridgers,Gracie Abrams,"Would've, Could've, Should've",Mine
